dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.6169,0.9211,0.2573,0.0164,0.9869,0.7611,0.9438,"[6513, 686, 1033, 1292]",0.8182,0.5952,0.5477,0.6519,0.4822,0.5477,0.9055
,,,,Asian-Pac-Islander,1.5531,0.8886,-0.1243,-0.0413,0.9569,0.8722,0.9438,,,,,,,,
,,,,Black,0.4585,0.8828,0.0757,0.0496,0.9505,0.9238,0.9437,,,,,,,,
,,,,Other,0.2571,0.8469,0.1813,0.0606,0.9409,0.8187,0.9438,,,,,,,,
,,,,White,1.4851,0.9297,-0.0003,-0.0329,0.967,0.9908,0.9437,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.4848,0.8715,0.1787,0.0579,0.9405,0.8599,0.9619,"[9480, 1310, 1261, 2236]",0.82,0.635,0.6394,0.6306,0.5156,0.6394,0.8786
,,,,Asian-Pac-Islander,1.1522,0.9624,-0.0325,-0.0152,0.9861,0.963,0.9616,,,,,,,,
,,,,Black,0.5038,0.8708,0.1212,0.0556,0.9441,0.8799,0.9619,,,,,,,,
,,,,Other,0.4834,0.8712,0.1399,0.0534,0.9454,0.86,0.9616,,,,,,,,
,,,,White,1.6188,0.8997,-0.0666,-0.0469,0.9534,0.9308,0.9617,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.6313,0.9217,0.2048,0.0278,0.9746,0.8171,0.9392,"[6473, 726, 1052, 1273]",0.814,0.5919,0.5524,0.6375,0.4743,0.5524,0.8985
,,,,Asian-Pac-Islander,1.5127,0.8933,-0.1177,-0.0379,0.9606,0.8789,0.9394,,,,,,,,
,,,,Black,0.4957,0.8879,0.0395,0.0487,0.9516,0.9567,0.939,,,,,,,,
,,,,Other,0.3779,0.8678,0.2862,0.0326,0.9706,0.7138,0.9391,,,,,,,,
,,,,White,1.4294,0.9336,0.0146,-0.0321,0.9682,0.9841,0.9393,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.8742,0.9747,-0.0392,-0.0237,0.9807,0.9093,0.9616,"[9936, 854, 1481, 2016]",0.8366,0.6333,0.5765,0.7024,0.5337,0.5765,0.9209
,,,,Asian-Pac-Islander,1.1174,0.9765,0.0159,-0.0152,0.9867,0.9872,0.9615,,,,,,,,
,,,,Black,0.4342,0.88,0.1654,0.041,0.959,0.8391,0.9613,,,,,,,,
,,,,Other,0.4779,0.8947,0.1771,0.0246,0.9783,0.8515,0.9612,,,,,,,,
,,,,White,1.6921,0.9128,-0.0988,-0.0277,0.9727,0.9021,0.9613,,,,,,,,
Adult Income,sex,Reweighing,RandomForestClassifier,Female,0.4424,0.8856,-0.0188,0.046,0.954,0.9807,0.9416,"[6685, 514, 1263, 1062]",0.8146,0.5497,0.4634,0.6756,0.4504,0.4634,0.9281
,,,,Male,2.2622,0.8856,0.0188,-0.046,0.954,0.9807,0.9416,,,,,,,,
Adult Income,sex,Reweighing,XGBClassifier,Female,0.429,0.8435,0.0445,0.068,0.932,0.9557,0.9553,"[9745, 1045, 1370, 2127]",0.831,0.6379,0.6082,0.6706,0.529,0.6082,0.9032
,,,,Male,2.3308,0.8435,-0.0445,-0.068,0.932,0.9557,0.9553,,,,,,,,
Adult Income,sex,Reweighing,RandomForestClassifier,Female,0.3428,0.8312,0.0855,0.0845,0.9155,0.9143,0.9347,"[6508, 691, 1102, 1223]",0.8131,0.5805,0.5297,0.642,0.4652,0.5297,0.9046
,,,,Male,2.9181,0.8312,-0.0855,-0.0845,0.9155,0.9143,0.9347,,,,,,,,
Adult Income,sex,Reweighing,XGBClassifier,Female,0.608,0.9131,-0.0943,0.0166,0.9832,0.9067,0.9566,"[9955, 835, 1578, 1919]",0.8311,0.614,0.5488,0.6968,0.5138,0.5488,0.9226
,,,,Male,1.6447,0.9131,0.0943,-0.0166,0.9832,0.9067,0.9566,,,,,,,,
