dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,sex,Reweighing,Validation,Surrogate,LogisticRegression,Female,3.2729,0.0759,0.0089,0.0016,0.0016,0.01,0.0,"[3358, 250, 758, 396]",1.3445,9.408,12.9416,4.4931,12.9613,"[[0.0, 0.06929046563192905, 1.0], [0.0, 0.3431542461005199, 1.0], [inf, 1.0, 0.0]]",3.9552,12.9416,0.1441
Adult Income,sex,Reweighing,Validation,Surrogate,LogisticRegression,Male,7.2944,0.0759,0.0089,0.0016,0.0016,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,SVC,Female,1.8125,0.0621,1.4546,0.0015,0.0015,1.4296,0.0,"[3360, 248, 592, 562]",0.9335,5.4878,7.8951,2.8128,8.2059,"[[0.0, 0.06873614190687362, 1.0], [0.0, 0.48700173310225303, 1.0], [inf, 1.0, 0.0]]",2.5387,7.8951,0.1416
Adult Income,sex,Reweighing,Validation,Surrogate,SVC,Male,3.1863,0.0621,1.4546,0.0015,0.0015,1.4296,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,GaussianNB,Female,12.2688,1.2942,0.2668,0.3878,0.3865,0.2725,0.0,"[3137, 471, 404, 750]",1.0124,4.0716,3.6771,4.4629,7.2118,"[[0.0, 0.13054323725055433, 1.0], [0.0, 0.6499133448873483, 1.0], [inf, 1.0, 0.0]]",1.7323,3.6771,0.5109
Adult Income,sex,Reweighing,Validation,Surrogate,GaussianNB,Male,94.3804,1.2942,0.2668,0.3878,0.3865,0.2725,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Female,7.1531,0.5267,0.0408,0.1104,0.1104,0.043,0.0,"[3142, 466, 540, 614]",1.366,6.182,6.6393,5.7133,10.5464,"[[0.0, 0.12915742793791574, 1.0], [0.0, 0.5320623916811091, 1.0], [inf, 1.0, 0.0]]",2.7143,6.6393,0.516
Adult Income,sex,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Male,27.3502,0.5267,0.0408,0.1104,0.1104,0.043,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,RandomForestClassifier,Female,10.9793,0.687,0.1655,0.1283,0.128,0.1642,0.0,"[3282, 326, 535, 619]",0.9827,5.0175,6.3562,3.608,8.1191,"[[0.0, 0.09035476718403547, 1.0], [0.0, 0.5363951473136915, 1.0], [inf, 1.0, 0.0]]",2.2851,6.3562,0.2521
Adult Income,sex,Reweighing,Validation,Surrogate,RandomForestClassifier,Male,70.4729,0.687,0.1655,0.1283,0.128,0.1642,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
