dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.6781,0.8993,0.4396,1.0373,0.9641,0.4524,0.9999,"[2944, 664, 333, 821]",0.7906,0.6222,0.7114,0.5529,0.4878,0.7114,0.816
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,0.9264,0.977,0.8795,0.9882,0.987,0.8846,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Black,0.434,0.8135,0.8829,0.8832,0.8835,0.883,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Other,0.6627,0.8945,1.0889,0.928,0.9329,0.9111,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,White,1.8274,0.849,1.1412,1.0896,0.9107,0.8607,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.3024,0.8136,0.591,0.8977,0.9011,0.604,0.9999,"[2991, 617, 507, 647]",0.764,0.5352,0.5607,0.5119,0.3781,0.5607,0.829
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,0.902,0.9739,1.0113,0.941,0.9416,0.9851,0.9997,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Black,0.5418,0.8728,0.9316,0.9234,0.9236,0.9268,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Other,0.6871,0.9167,1.2405,0.9127,0.9164,0.7596,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,White,1.6947,0.8844,1.049,1.0821,0.9179,0.954,0.9997,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.3799,0.8681,0.5893,0.9703,0.9737,0.6022,0.9999,"[3250, 358, 505, 649]",0.8188,0.6006,0.5624,0.6445,0.486,0.5624,0.9008
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,0.8513,0.9684,0.9106,0.968,0.9665,0.9095,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Black,0.3935,0.8639,0.8663,0.9342,0.9337,0.8677,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Other,0.5752,0.9099,0.8368,0.9852,0.9889,0.8369,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,White,2.0906,0.8808,1.1402,1.0584,0.9416,0.8586,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.0928,0.7917,0.4424,0.8999,0.9011,0.4426,1.0,"[3165, 443, 514, 641]",0.7991,0.5726,0.555,0.5913,0.4418,0.555,0.8772
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,0.8548,0.9668,0.9556,0.9532,0.952,0.9563,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Black,0.3058,0.8309,0.6931,0.9157,0.9156,0.6983,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Other,0.8022,0.9549,1.0453,0.9898,0.9948,0.9548,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,White,2.4197,0.8542,1.2108,1.0803,0.9199,0.7876,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,Amer-Indian-Eskimo,0.3013,0.8027,0.7119,0.896,0.8984,0.7122,0.9999,"[3065, 543, 362, 793]",0.81,0.6367,0.6866,0.5936,0.5114,0.6866,0.8495
Adult Income,race,Reweighing,Test,Surrogate,SVC,Asian-Pac-Islander,0.7618,0.9327,0.8195,0.9526,0.9529,0.8201,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,Black,0.3218,0.7966,0.7059,0.89,0.8902,0.7101,0.9998,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,Other,0.5631,0.877,0.9128,0.9334,0.9371,0.913,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,White,2.4658,0.8178,1.2505,1.1025,0.8972,0.7476,0.9998,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.5768,0.8673,0.8887,0.9334,0.9395,0.8887,1.0,"[2941, 667, 334, 821]",0.7898,0.6213,0.7108,0.5517,0.4864,0.7108,0.8151
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Asian-Pac-Islander,1.0288,0.991,0.9836,0.9969,0.996,0.9808,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Black,0.432,0.8124,0.8317,0.8877,0.8882,0.8348,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Other,0.9757,0.9924,1.0896,1.055,0.9491,0.9104,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,White,1.7318,0.8595,1.1019,1.0835,0.9161,0.899,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.3972,0.8385,0.8503,0.8943,0.8979,0.8504,0.9999,"[2973, 635, 521, 634]",0.7573,0.5231,0.5489,0.4996,0.3615,0.5489,0.824
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.1486,0.9606,1.0631,1.0154,0.9851,0.9312,0.9992,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Black,0.5384,0.8713,0.8507,0.9285,0.9293,0.8547,0.9996,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Other,0.6845,0.9157,1.0511,0.9361,0.941,0.9487,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,White,1.5452,0.901,1.0589,1.061,0.9391,0.9409,0.9993,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.7341,0.9422,1.0163,0.9957,0.9995,0.9835,0.9998,"[3249, 359, 481, 674]",0.8236,0.6161,0.5835,0.6525,0.5034,0.5835,0.9005
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.0874,0.9811,0.9262,1.0334,0.9652,0.9268,0.9994,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Black,0.4108,0.8646,0.743,0.9555,0.9559,0.7433,0.9997,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Other,0.7291,0.9411,1.0163,0.985,0.9886,0.9835,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,White,1.7508,0.9009,1.1721,1.026,0.9744,0.8296,0.9994,,,,,,,,
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.2721,0.7839,0.4275,0.9111,0.9145,0.4402,0.9999,"[3039, 569, 319, 835]",0.8135,0.6529,0.7236,0.5947,0.5318,0.7236,0.8423
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Asian-Pac-Islander,0.6286,0.8892,0.7685,0.9078,0.9063,0.7684,0.9998,,,,,,,,
