dataset_temp_files\Validation,dataset_temp_files\Test,protected_attribute_temp_files\Validation,protected_attribute_temp_files\Test,unbiasing_algorithm_temp_files\Validation,unbiasing_algorithm_temp_files\Test,data_temp_files\Validation,data_temp_files\Test,classifier_type_temp_files\Validation,classifier_type_temp_files\Test,classification_algorithm_temp_files\Validation,classification_algorithm_temp_files\Test,value_temp_files\Validation,value_temp_files\Test,disparate_impact_ssd_temp_files\Validation,disparate_impact_ssd_temp_files\Test,discrimination_score_ssd_temp_files\Validation,discrimination_score_ssd_temp_files\Test,true_positive_rate_diff_ssd_temp_files\Validation,true_positive_rate_diff_ssd_temp_files\Test,false_positive_rate_diff_ssd_temp_files\Validation,false_positive_error_rate_balance_score_ssd_temp_files\Validation,false_negative_error_rate_balance_score_ssd_temp_files\Validation,false_positive_rate_diff_ssd_temp_files\Test,false_positive_error_rate_balance_score_ssd_temp_files\Test,false_negative_error_rate_balance_score_ssd_temp_files\Test,consistency_ssd_temp_files\Validation,consistency_ssd_temp_files\Test,confusion_matrix_temp_files\Validation,confusion_matrix_temp_files\Test,accuracy_ssd_temp_files\Validation,accuracy_ssd_temp_files\Test,f1_score_ssd_temp_files\Validation,f1_score_ssd_temp_files\Test,recall_ssd_temp_files\Validation,recall_ssd_temp_files\Test,precision_ssd_temp_files\Validation,precision_ssd_temp_files\Test,mathews_cc_ssd_temp_files\Validation,mathews_cc_ssd_temp_files\Test,roc_curve_temp_files\Validation,roc_curve_temp_files\Test,auc_ssd_temp_files\Validation,auc_ssd_temp_files\Test,sensitivity_ssd_temp_files\Validation,sensitivity_ssd_temp_files\Test,specificity_ssd_temp_files\Validation,specificity_ssd_temp_files\Test
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,SVC,SVC,White,White,11.4207,11.0425,0.0964,0.0894,0.0017,0.0075,0.0152,0.0155,0.0013,0.008,0.008,0.0073,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Amer-Indian-Eskimo,Amer-Indian-Eskimo,0.3301,0.7273,0.0232,0.0514,3.4537,0.0872,0.2132,0.2077,2.956,0.0237,0.0179,0.0,0.0,0.0,"[3093, 515, 409, 745]","[6159, 1058, 837, 1471]",1.1291,1.188,4.3961,4.6052,3.768,3.9465,5.0111,5.2492,7.849,8.231,"[[0.0, 0.14273835920177383, 1.0], [0.0, 0.645580589254766, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.14659830954690314, 1.0], [0.0, 0.6373483535528596, 1.0], [inf, 1.0, 0.0]]",1.8541,1.9446,3.768,3.9465,0.6109,0.6447
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Asian-Pac-Islander,Asian-Pac-Islander,2.1147,6.048,0.1457,0.4149,0.1027,0.3066,0.0741,0.0726,0.0954,0.3396,0.3245,0.3018,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Black,Black,7.512,6.2053,0.5796,0.4778,0.0261,0.1371,0.1849,0.1849,0.0249,0.1127,0.1142,0.1221,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Other,Other,3.2039,15.6645,0.2255,1.1175,0.7226,5.2067,0.112,0.0995,0.7217,0.2495,0.2355,5.2117,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,White,White,6.6129,4.2413,0.2355,0.171,0.0007,0.0039,0.0591,0.0589,0.0006,0.0225,0.0224,0.0067,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Amer-Indian-Eskimo,Amer-Indian-Eskimo,10.0188,15.1079,1.0097,1.5101,4.9196,2.7743,0.4375,0.3951,4.613,0.8831,0.8477,2.3985,0.0,0.0,"[2733, 875, 507, 647]","[5414, 1803, 1041, 1267]",2.4906,2.5743,8.0001,8.3177,5.8944,6.2516,9.8348,10.1113,14.9794,15.5655,"[[0.0, 0.24251662971175167, 1.0], [0.0, 0.5606585788561526, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.24982679783843703, 1.0], [0.0, 0.5489601386481803, 1.0], [inf, 1.0, 0.0]]",3.4864,3.6438,5.8944,6.2516,1.7071,1.7372
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Asian-Pac-Islander,Asian-Pac-Islander,1.3621,2.3862,0.1374,0.2397,0.0105,0.0449,0.4345,0.4264,0.0151,0.4466,0.4381,0.0446,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Black,Black,14.5506,14.0945,1.6623,1.5916,0.5073,1.0433,1.262,1.2581,0.4951,1.1137,1.1184,1.0265,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Other,Other,0.0851,1.3878,0.0085,0.1374,1.7902,1.3335,0.0017,0.0031,1.7901,0.0003,0.0011,1.3359,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,White,White,54.1672,65.7899,1.1662,1.26,0.1668,0.6249,1.0172,1.02,0.1594,0.9803,0.9793,0.6212,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Amer-Indian-Eskimo,Amer-Indian-Eskimo,7.9766,5.4121,0.3614,0.2359,1.9126,0.517,0.0263,0.0203,1.5467,0.0294,0.0235,0.2627,0.0,0.0,"[3241, 367, 506, 648]","[6494, 723, 1064, 1244]",1.006,1.0267,4.8776,5.0607,5.8302,6.1416,3.8934,3.9358,8.0861,8.3305,"[[0.0, 0.10171840354767184, 1.0], [0.0, 0.561525129982669, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.1001801302480255, 1.0], [0.0, 0.5389948006932409, 1.0], [inf, 1.0, 0.0]]",2.1988,2.284,5.8302,6.1416,0.3043,0.2964
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Asian-Pac-Islander,Asian-Pac-Islander,0.555,1.3879,0.0247,0.0593,0.1088,0.0307,0.0009,0.001,0.1311,0.018,0.0197,0.0391,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Black,Black,10.7063,9.3069,0.54,0.4487,0.497,0.5471,0.1271,0.1288,0.4851,0.0851,0.0843,0.5104,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Other,Other,5.8107,23.0405,0.2626,1.0117,1.7562,5.5068,0.1644,0.159,1.7546,0.2228,0.2197,5.5092,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,White,White,19.1492,16.3937,0.303,0.266,0.0677,0.2016,0.0953,0.0952,0.0591,0.0513,0.0518,0.2085,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Amer-Indian-Eskimo,Amer-Indian-Eskimo,13.9169,7.672,0.9314,0.4703,3.2472,0.3597,0.2403,0.2276,2.7634,0.1603,0.1478,0.1229,0.0,0.0,"[3117, 491, 421, 733]","[6276, 941, 902, 1406]",1.1002,1.1233,4.4122,4.7021,3.9924,4.5817,4.8264,4.8216,7.8214,8.2341,"[[0.0, 0.13608647450110864, 1.0], [0.0, 0.6351819757365684, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.13038658722460855, 1.0], [0.0, 0.6091854419410745, 1.0], [inf, 1.0, 0.0]]",1.8825,2.0374,3.9924,4.5817,0.5557,0.5101
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Asian-Pac-Islander,Asian-Pac-Islander,0.4306,0.016,0.0286,0.001,0.0119,0.0971,0.1466,0.1534,0.0071,0.0019,0.0014,0.0875,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Black,Black,13.8149,12.2842,1.0423,0.8457,1.5677,0.2067,0.3276,0.3308,1.5568,0.3558,0.3525,0.1998,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Other,Other,11.9676,14.742,0.799,0.9052,0.8217,4.5256,0.5664,0.5664,0.8217,0.1679,0.1568,4.528,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,White,White,56.0279,36.2538,0.7854,0.5838,0.5172,0.2193,0.3506,0.3532,0.4915,0.2517,0.2506,0.236,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Amer-Indian-Eskimo,Amer-Indian-Eskimo,17.9305,18.1585,0.5914,0.6135,7.0393,2.9316,0.04,0.0349,7.0364,0.1287,0.124,2.6552,0.0,0.0,"[3306, 302, 598, 556]","[6582, 635, 1205, 1103]",1.0716,1.1198,6.0023,6.2053,8.0559,8.1777,3.7171,4.0055,9.2808,9.6583,"[[0.0, 0.0837028824833703, 1.0], [0.0, 0.48180242634315423, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.08798669807399197, 1.0], [0.0, 0.4779029462738302, 1.0], [inf, 1.0, 0.0]]",2.718,2.7908,8.0559,8.1777,0.2102,0.2323
Adult Income,Adult Income,race,race,Massaging,Massaging,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Asian-Pac-Islander,Asian-Pac-Islander,1.1256,0.4718,0.0361,0.0156,0.0573,0.013,0.0045,0.0042,0.0599,0.0141,0.0148,0.0159,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
