dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,GaussianNB,Female,1.1366,0.9070,1.2100,0.9282,0.9282,0.7900,0.8267,0.7100,0.7943,0.6500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,GaussianNB,Male,0.8798,0.9070,0.7900,1.0718,0.9282,0.7900,0.8267,0.7100,0.7943,0.6500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.3127,0.8233,1.2700,1.0191,0.9809,0.7300,0.5300,0.6000,0.6970,0.5619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.7618,0.8233,0.7300,0.9809,0.9809,0.7300,0.5300,0.6000,0.6970,0.5619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,RandomForestClassifier,Female,1.0474,0.9649,1.1800,0.8373,0.8373,0.8200,0.7567,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,RandomForestClassifier,Male,0.9547,0.9649,0.8200,1.1627,0.8373,0.8200,0.7567,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Test,XGBClassifier,Female,0.8656,0.8948,0.9300,0.9426,0.9426,0.9300,0.6633,0.8100,0.8690,0.7500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Test,XGBClassifier,Male,1.1553,0.8948,1.0700,1.0574,0.9426,0.9300,0.6633,0.8100,0.8690,0.7500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Female,1.1356,0.9037,1.2600,0.8230,0.8230,0.7400,0.7133,0.7000,0.7917,0.6238
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Male,0.8806,0.9037,0.7400,1.1770,0.8230,0.7400,0.7133,0.7000,0.7917,0.6238
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Female,1.0927,0.9261,1.0300,1.2536,0.7464,0.9700,0.8267,0.7800,0.8553,0.6810
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Male,0.9152,0.9261,0.9700,0.7464,0.7464,0.9700,0.8267,0.7800,0.8553,0.6810
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Female,1.1953,0.8471,1.0300,1.4880,0.5120,0.9700,0.8433,0.7700,0.8497,0.6643
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Male,0.8366,0.8471,0.9700,0.5120,0.5120,0.9700,0.8433,0.7700,0.8497,0.6643
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,GaussianNB,Female,1.1810,0.8714,1.0800,1.3062,0.6938,0.9200,0.7967,0.7300,0.8138,0.6548
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,GaussianNB,Male,0.8467,0.8714,0.9200,0.6938,0.6938,0.9200,0.7967,0.7300,0.8138,0.6548
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.9398,0.9607,1.0400,0.9043,0.9043,0.9600,0.5800,0.7400,0.8060,0.7190
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.0641,0.9607,0.9600,1.0957,0.9043,0.9600,0.5800,0.7400,0.8060,0.7190
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.9659,0.9738,1.0200,0.9809,0.9809,0.9800,0.7033,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.0353,0.9738,0.9800,1.0191,0.9809,0.9800,0.7033,0.7800,0.8493,0.7095
