dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,race,Massaging,Test,Test,XGBClassifier, Black,0.782,0.9399,0.8874,1.0023,0.9983,0.884,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier, Other,0.6156,0.8959,0.4596,0.9971,0.9953,0.4594,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier, White,1.425,0.9158,1.1389,1.0302,0.9694,0.8621,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression, Amer-Indian-Eskimo,0.3355,0.8182,0.8585,0.879,0.8797,0.8585,1.0,"[2089, 382, 282, 503]",0.7961,0.6024,0.6408,0.5684,0.4674,"[[0.0, 0.15459328207203563, 1.0], [0.0, 0.640764331210191, 1.0], [inf, 1.0, 0.0]]",0.7431,0.6408,0.8454
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression, Asian-Pac-Islander,0.7034,0.9186,0.798,0.9511,0.9491,0.7966,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression, Black,0.3306,0.8056,0.7816,0.8799,0.8797,0.7844,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression, Other,0.3968,0.8352,1.026,0.8848,0.886,0.974,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression, White,2.5233,0.8201,1.2089,1.1159,0.884,0.792,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, Amer-Indian-Eskimo,0.4375,0.9213,1.0815,0.9492,0.9492,0.9187,1.0,"[2347, 124, 456, 329]",0.8219,0.5315,0.4191,0.7263,0.456,"[[0.0, 0.05018211250505868, 1.0], [0.0, 0.4191082802547771, 1.0], [inf, 1.0, 0.0]]",0.6845,0.4191,0.9498
Adult Income,race,Massaging,Validation,Surrogate,SVC, Asian-Pac-Islander,1.4781,0.9345,1.1401,1.0281,0.9704,0.8586,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, Black,0.4104,0.9131,0.9625,0.9596,0.9601,0.9637,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, Other,0.7776,0.969,1.2487,0.9902,0.9914,0.7515,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, White,1.5475,0.9481,0.95,1.027,0.9728,0.9485,0.9997,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Amer-Indian-Eskimo,0.5008,0.878,0.8639,0.9506,0.9523,0.8636,1.0,"[2178, 293, 286, 499]",0.8222,0.6328,0.6357,0.6301,0.5155,"[[0.0, 0.11857547551598543, 1.0], [0.0, 0.6356687898089172, 1.0], [inf, 1.0, 0.0]]",0.7585,0.6357,0.8814
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Asian-Pac-Islander,1.4102,0.9015,1.0656,1.0946,0.9052,0.9295,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Black,0.4898,0.8695,0.9536,0.9324,0.9326,0.9516,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Other,0.7415,0.937,1.0314,1.003,0.9935,0.9688,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, White,1.4557,0.9202,1.0065,1.0311,0.9686,0.9939,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Amer-Indian-Eskimo,0.4064,0.8212,0.7944,0.8529,0.8554,0.7942,0.9999,"[1853, 618, 428, 357]",0.6787,0.4057,0.4548,0.3662,0.1911,"[[0.0, 0.2501011736139215, 1.0], [0.0, 0.4547770700636943, 1.0], [inf, 1.0, 0.0]]",0.6023,0.4548,0.7499
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Asian-Pac-Islander,0.6372,0.8901,0.9156,0.8792,0.8777,0.9126,0.9997,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Black,0.4043,0.8108,1.0039,0.81,0.8094,0.9929,0.9996,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Other,0.8439,0.9532,0.8783,0.993,0.9999,0.8781,0.9996,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, White,2.1703,0.8248,1.0484,1.1764,0.8235,0.9517,0.999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Amer-Indian-Eskimo,0.4625,0.8933,0.4573,1.0163,0.9813,0.4571,0.9999,"[2252, 219, 361, 424]",0.8219,0.5938,0.5401,0.6594,0.4851,"[[0.0, 0.0886280857952246, 1.0], [0.0, 0.5401273885350318, 1.0], [inf, 1.0, 0.0]]",0.7257,0.5401,0.9114
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Asian-Pac-Islander,1.0929,0.9817,0.9398,1.0325,0.9693,0.9393,0.9998,,,,,,,,,,
