dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Female,1.0732,0.9406,0.9900,1.3062,0.6938,0.9900,0.8200,0.8100,0.8758,0.7119
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Male,0.9318,0.9406,1.0100,0.6938,0.6938,0.9900,0.8200,0.8100,0.8758,0.7119
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,Female,1.1129,0.9149,1.0500,1.2679,0.7321,0.9500,0.8167,0.8000,0.8649,0.7238
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,Male,0.8986,0.9149,0.9500,0.7321,0.7321,0.9500,0.8167,0.8000,0.8649,0.7238
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,GaussianNB,Female,1.0543,0.9701,0.9700,1.2440,0.7560,0.9700,0.7300,0.6800,0.7460,0.6857
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,GaussianNB,Male,0.9485,0.9701,1.0300,0.7560,0.7560,0.9700,0.7300,0.6800,0.7460,0.6857
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.1839,0.8747,1.0700,1.3062,0.6938,0.9300,0.6833,0.7000,0.7887,0.6333
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.8446,0.8747,0.9300,0.6938,0.6938,0.9300,0.6833,0.7000,0.7887,0.6333
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,RandomForestClassifier,Female,1.1129,0.9149,1.0200,1.3062,0.6938,0.9800,0.7933,0.7600,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.8986,0.9149,0.9800,0.6938,0.6938,0.9800,0.7933,0.7600,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,LogisticRegression,Female,0.9659,0.9738,0.9500,1.1244,0.8756,0.9500,0.8633,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,LogisticRegression,Male,1.0353,0.9738,1.0500,0.8756,0.8756,0.9500,0.8633,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,SVC,Female,1.1129,0.9215,1.0300,1.2679,0.7321,0.9700,0.8567,0.7400,0.8169,0.6810
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,SVC,Male,0.8986,0.9215,0.9700,0.7321,0.7321,0.9700,0.8567,0.7400,0.8169,0.6810
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,GaussianNB,Female,0.7600,0.8574,0.8700,0.9043,0.9043,0.8700,0.7233,0.6500,0.7200,0.6548
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,GaussianNB,Male,1.3157,0.8574,1.1300,1.0957,0.9043,0.8700,0.7233,0.6500,0.7200,0.6548
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.9677,0.9785,1.0800,0.8373,0.8373,0.9200,0.7033,0.6800,0.7647,0.6381
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.0333,0.9785,0.9200,1.1627,0.8373,0.9200,0.7033,0.6800,0.7647,0.6381
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,RandomForestClassifier,Female,1.0038,0.9972,0.9700,1.1770,0.8230,0.9700,0.8267,0.7800,0.8472,0.7190
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,RandomForestClassifier,Male,0.9962,0.9972,1.0300,0.8230,0.8230,0.9700,0.8267,0.7800,0.8472,0.7190
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Test,XGBClassifier,Female,1.1356,0.9037,1.0700,1.2823,0.7177,0.9300,0.7567,0.8200,0.8750,0.7667
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Test,XGBClassifier,Male,0.8806,0.9037,0.9300,0.7177,0.7177,0.9300,0.7567,0.8200,0.8750,0.7667
German Credit,Attribute9,Female,Reweighing,Test,2,False,Test,XGBClassifier,Female,0.8989,0.9238,0.9100,1.0191,0.9809,0.9100,0.7700,0.7100,0.7972,0.6405
