dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
German Credit,Attribute13,LGAFFS,Validation,Surrogate,RandomForestClassifier,Aged,1.1952,0.8661,1.0927,1.0489,0.8964,0.89,0.9349,"[10, 20, 6, 64]",0.764,0.8456,0.9238,0.7804,0.3858,"[[0.0, 0.6666666666666666, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.6574,0.9238,0.3911
German Credit,Attribute13,LGAFFS,Validation,Surrogate,RandomForestClassifier,Young,0.8452,0.8661,0.9073,0.9511,0.8964,0.89,0.9349,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,LogisticRegression,Aged,1.0736,0.9457,1.0214,1.056,0.928,0.9786,0.9002,"[12, 18, 7, 63]",0.7573,0.8396,0.9076,0.7812,0.3701,"[[0.0, 0.6, 1.0], [0.0, 0.9, 1.0], [inf, 1.0, 0.0]]",0.6572,0.9076,0.4067
German Credit,Attribute13,LGAFFS,Test,Surrogate,LogisticRegression,Young,0.935,0.9457,0.9786,0.944,0.928,0.9786,0.9002,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,SVC,Aged,1.0496,0.9389,1.0299,0.9813,0.96,0.9241,0.8984,"[13, 17, 6, 64]",0.76,0.8411,0.9076,0.7838,0.3778,"[[0.0, 0.5666666666666667, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.6616,0.9076,0.4155
German Credit,Attribute13,LGAFFS,Test,Surrogate,SVC,Young,0.9591,0.9389,0.9701,1.0187,0.96,0.9241,0.8984,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,GaussianNB,Aged,1.1178,0.8437,1.089,0.888,0.888,0.8112,0.9075,"[18, 12, 15, 55]",0.7273,0.7951,0.759,0.8373,0.3944,"[[0.0, 0.4, 1.0], [0.0, 0.7857142857142857, 1.0], [inf, 1.0, 0.0]]",0.7062,0.759,0.6533
German Credit,Attribute13,LGAFFS,Test,Surrogate,GaussianNB,Young,0.9561,0.8437,0.911,1.112,0.888,0.8112,0.9075,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Aged,1.183,0.8933,1.0597,1.128,0.808,0.9403,0.8602,"[18, 12, 15, 55]",0.7293,0.8066,0.8076,0.8067,0.3557,"[[0.0, 0.4, 1.0], [0.0, 0.7857142857142857, 1.0], [inf, 1.0, 0.0]]",0.6772,0.8076,0.5467
German Credit,Attribute13,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Young,0.8498,0.8933,0.9403,0.872,0.808,0.9403,0.8602,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,RandomForestClassifier,Aged,1.0468,0.9663,1.0371,0.952,0.9307,0.9629,0.9002,"[14, 16, 7, 63]",0.7773,0.8496,0.899,0.8054,0.4356,"[[0.0, 0.5333333333333333, 1.0], [0.0, 0.9, 1.0], [inf, 1.0, 0.0]]",0.6962,0.899,0.4934
German Credit,Attribute13,LGAFFS,Test,Surrogate,RandomForestClassifier,Young,0.957,0.9663,0.9629,1.048,0.9307,0.9629,0.9002,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Test,XGBClassifier,Aged,1.0372,0.949,1.0478,0.8476,0.8476,0.9522,0.9187,"[14, 16, 8, 62]",0.754,0.8352,0.8924,0.7859,0.3707,"[[0.0, 0.5333333333333333, 1.0], [0.0, 0.8857142857142857, 1.0], [inf, 1.0, 0.0]]",0.6618,0.8924,0.4311
German Credit,Attribute13,LGAFFS,Validation,Test,XGBClassifier,Young,0.9689,0.949,0.9522,1.1524,0.8476,0.9522,0.9187,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Test,XGBClassifier,Aged,1.0981,0.936,1.0812,0.96,0.8693,0.9188,0.8913,"[16, 14, 11, 59]",0.752,0.8271,0.8486,0.8069,0.3911,"[[0.0, 0.4666666666666667, 1.0], [0.0, 0.8428571428571429, 1.0], [inf, 1.0, 0.0]]",0.6876,0.8486,0.5266
German Credit,Attribute13,LGAFFS,Test,Test,XGBClassifier,Young,0.9156,0.936,0.9188,1.04,0.8693,0.9188,0.8913,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,LogisticRegression,Aged,1.23,0.8403,1.1145,1.104,0.896,0.8855,0.9506,"[11, 19, 6, 64]",0.7473,0.8357,0.9181,0.7669,0.3321,"[[0.0, 0.6333333333333333, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.6335,0.9181,0.3489
German Credit,Attribute13,LGAFFS,Validation,Surrogate,LogisticRegression,Young,0.8146,0.8403,0.8855,0.896,0.896,0.8855,0.9506,,,,,,,,,,
