dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,GaussianNB,Female,1.3815,0.8396,1.2000,1.1531,0.8469,0.8000,0.7433,0.6100,0.6667,0.6452
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,GaussianNB,Male,0.7238,0.8396,0.8000,0.8469,0.8469,0.8000,0.7433,0.6100,0.6667,0.6452
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.0161,0.9892,1.0000,1.0574,0.9426,1.0000,0.5900,0.6100,0.7153,0.5500
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.9841,0.9892,1.0000,0.9426,0.9426,1.0000,0.5900,0.6100,0.7153,0.5500
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,RandomForestClassifier,Female,1.1129,0.9280,0.9600,1.3589,0.6411,0.9600,0.7000,0.6600,0.7500,0.6143
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.8986,0.9280,1.0400,0.6411,0.6411,0.9600,0.7000,0.6600,0.7500,0.6143
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,LogisticRegression,Female,1.0153,0.9874,1.0000,1.0957,0.9043,1.0000,0.8000,0.7300,0.8235,0.6167
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,LogisticRegression,Male,0.9849,0.9874,1.0000,0.9043,0.9043,1.0000,0.8000,0.7300,0.8235,0.6167
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,SVC,Female,0.9142,0.9303,1.0400,0.7703,0.7703,0.9600,0.8367,0.7300,0.8188,0.6357
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,SVC,Male,1.0939,0.9303,0.9600,1.2297,0.7703,0.9600,0.8367,0.7300,0.8188,0.6357
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,GaussianNB,Female,0.8903,0.9444,0.9100,1.1148,0.8852,0.9100,0.7100,0.6700,0.7227,0.7071
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,GaussianNB,Male,1.1232,0.9444,1.0900,0.8852,0.8852,0.9100,0.7100,0.6700,0.7227,0.7071
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.0892,0.9392,1.0800,1.0574,0.9426,0.9200,0.7000,0.6400,0.7429,0.5714
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.9181,0.9392,0.9200,0.9426,0.9426,0.9200,0.7000,0.6400,0.7429,0.5714
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,RandomForestClassifier,Female,0.8729,0.9060,0.9300,0.9282,0.9282,0.9300,0.7233,0.7100,0.7943,0.6500
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,RandomForestClassifier,Male,1.1457,0.9060,1.0700,1.0718,0.9282,0.9300,0.7233,0.7100,0.7943,0.6500
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Test,XGBClassifier,Female,1.1613,0.8925,1.0400,1.3062,0.6938,0.9600,0.6667,0.6800,0.7714,0.6190
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Test,XGBClassifier,Male,0.8611,0.8925,0.9600,0.6938,0.6938,0.9600,0.6667,0.6800,0.7714,0.6190
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Test,XGBClassifier,Female,0.9085,0.9350,1.0100,0.8230,0.8230,0.9900,0.6800,0.6500,0.7482,0.5881
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Test,XGBClassifier,Male,1.1007,0.9350,0.9900,1.1770,0.8230,0.9900,0.6800,0.6500,0.7482,0.5881
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,LogisticRegression,Aged,1.2032,0.8510,1.1403,1.1250,0.8750,0.8597,0.8500,0.7000,0.8077,0.5667
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,LogisticRegression,Young,0.8311,0.8510,0.8597,0.8750,0.8750,0.8597,0.8500,0.7000,0.8077,0.5667
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,SVC,Aged,1.3922,0.7647,1.2350,1.1667,0.8333,0.7650,0.8167,0.7200,0.8133,0.6190
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,SVC,Young,0.7183,0.7647,0.7650,0.8333,0.8333,0.7650,0.8167,0.7200,0.8133,0.6190
