dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.3906,0.8713,0.6059,0.9685,0.9721,0.6188,0.9997,"[3238, 370, 524, 630]",0.8123,0.585,0.5459,0.63,0.4664,"[[0.0, 0.10254988913525499, 1.0], [0.0, 0.5459272097053726, 1.0], [inf, 1.0, 0.0]]",0.7217,0.5459,0.8975
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.0835,0.9825,1.0263,0.9927,0.9924,0.9699,0.9997,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Black,0.4061,0.8678,0.9019,0.9305,0.9299,0.904,0.9994,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Other,0.4512,0.8842,1.255,0.8964,0.8964,0.7448,0.9997,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,White,1.879,0.8947,1.0529,1.0623,0.9377,0.9494,0.9995,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.398,0.9383,0.8736,0.9821,0.9832,0.8888,1.0,"[6921, 296, 1633, 675]",0.7975,0.4117,0.2925,0.6952,0.3561,"[[0.0, 0.04101427185811279, 1.0], [0.0, 0.29246100519930673, 1.0], [inf, 1.0, 0.0]]",0.6257,0.2925,0.959
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,1.9294,0.9078,1.1337,1.0653,0.9343,0.8703,1.0,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Black,0.4804,0.9443,0.9625,0.9794,0.9793,0.9673,0.9999,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Other,0.1199,0.9097,0.7063,0.9728,0.9734,0.7064,1.0,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,White,1.356,0.9722,0.9865,1.0047,0.9955,0.9864,0.9999,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Amer-Indian-Eskimo,0.3941,0.9059,0.8743,0.9658,0.9668,0.9047,1.0,"[6804, 413, 1250, 1058]",0.8254,0.5599,0.4584,0.7192,0.4757,"[[0.0, 0.05722599418040737, 1.0], [0.0, 0.4584055459272097, 1.0], [inf, 1.0, 0.0]]",0.7006,0.4584,0.9428
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Asian-Pac-Islander,1.6783,0.8973,1.1744,1.0535,0.9462,0.8193,1.0,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Black,0.3117,0.8863,0.8417,0.9544,0.954,0.8402,1.0,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Other,0.2381,0.8816,0.7628,0.9564,0.9571,0.7629,1.0,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,White,1.7481,0.9296,1.0339,1.028,0.972,0.9672,1.0,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,11.3382,0.786,1.5406,1.1724,0.8307,0.4063,1.0,"[7105, 112, 2203, 105]",0.757,0.0832,0.0455,0.4839,0.0861,"[[0.0, 0.015518913676042677, 1.0], [0.0, 0.04549393414211438, 1.0], [inf, 1.0, 0.0]]",0.515,0.0455,0.9845
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Asian-Pac-Islander,36.9358,0.6083,1.714,1.2696,0.7315,0.2869,0.9999,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Black,5.45,0.9288,1.3295,1.0376,0.9624,0.6692,1.0,,,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Other,0.0,0.977,0.9544,0.9843,0.9843,0.9543,1.0,,,,,,,,,,
