dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,race,,Test,Surrogate,SVC,Black,14.4657,0.4107,0.8357,0.0666,0.068,0.8508,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Test,Surrogate,SVC,Other,17.6303,0.4429,3.8235,0.0283,0.0261,3.8213,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Test,Surrogate,SVC,White,23.8378,0.1901,0.1844,0.0261,0.0265,0.1853,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,30.0,3.0185,14.6748,1.1302,1.1302,14.6832,0.0,"[5832, 1385, 701, 1607]",1.4388,4.6476,2.767,6.4283,8.5675,"[[0.0, 0.19190799501177774, 1.0], [0.0, 0.6962738301559792, 1.0], [inf, 1.0, 0.0]]",1.8421,2.767,1.1048
Adult Income,race,,Test,Surrogate,GaussianNB,Asian-Pac-Islander,15.6602,1.6147,7.3894,0.7254,0.7069,7.4431,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Test,Surrogate,GaussianNB,Black,16.0967,1.8347,3.5728,0.748,0.747,3.5377,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Test,Surrogate,GaussianNB,Other,15.8384,1.5815,3.9814,0.5622,0.5419,3.9836,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Test,Surrogate,GaussianNB,White,302.9333,2.1579,5.9621,0.8937,0.8968,5.9782,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,1.6022,0.0806,0.4047,0.0062,0.0024,0.1846,0.0,"[6310, 907, 1078, 1230]",1.2973,5.9715,6.5556,5.3714,10.123,"[[0.0, 0.1256754884300956, 1.0], [0.0, 0.5329289428076257, 1.0], [inf, 1.0, 0.0]]",2.6324,6.5556,0.4679
Adult Income,race,,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,3.8607,0.189,0.0028,0.2307,0.233,0.004,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
