dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.4977,0.8924,-0.1166,-0.0373,0.9606,0.8791,0.9402,"[6436, 763, 997, 1328]",0.8152,0.6014,0.5712,0.6351,0.4828,0.5712,0.894
Adult Income,race,Black,Massaging,RandomForestClassifier,0.5223,0.8918,0.0429,0.0423,0.9575,0.953,0.9391,"[6440, 759, 1025, 1300]",0.8127,0.5931,0.5591,0.6314,0.4735,0.5591,0.8946
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3864,0.8658,0.3204,0.0296,0.9738,0.6796,0.9397,"[6450, 749, 1000, 1325]",0.8164,0.6024,0.5699,0.6389,0.4849,0.5699,0.896
Adult Income,race,White,Massaging,RandomForestClassifier,1.4481,0.9296,0.0028,-0.0346,0.9658,0.9963,0.9378,"[6430, 769, 1025, 1300]",0.8116,0.5917,0.5591,0.6283,0.4712,0.5591,0.8932
,,,,XGBClassifier,1.6299,0.9144,-0.0719,-0.0294,0.9707,0.926,0.9618,"[9867, 923, 1428, 2069]",0.8354,0.6377,0.5916,0.6915,0.5348,0.5916,0.9145
Adult Income,sex,Female,Massaging,RandomForestClassifier,0.3569,0.8656,-0.0648,0.1187,0.8813,0.9359,0.9266,"[6415, 784, 1539, 786]",0.7561,0.4036,0.3381,0.5006,0.2653,0.3381,0.8911
Adult Income,sex,Male,Massaging,RandomForestClassifier,2.7888,0.8687,0.0572,-0.1142,0.8858,0.9414,0.9257,"[6435, 764, 1549, 776]",0.7571,0.4016,0.3338,0.5039,0.2656,0.3338,0.8939
,,,,XGBClassifier,0.485,0.8869,-0.1782,0.1077,0.8923,0.8229,0.9405,"[9581, 1209, 2108, 1389]",0.7678,0.4558,0.3972,0.5346,0.3179,0.3972,0.888
Adult Income,sex,Female,Massaging,RandomForestClassifier,0.289,0.8044,0.1251,0.1077,0.8924,0.8764,0.9358,"[6467, 732, 1048, 1277]",0.8131,0.5893,0.5492,0.6356,0.4712,0.5492,0.8983
Adult Income,sex,Male,Massaging,RandomForestClassifier,3.4444,0.802,-0.1456,-0.1045,0.8955,0.8558,0.9344,"[6465, 734, 1021, 1304]",0.8157,0.5978,0.5609,0.6398,0.4807,0.5609,0.898
,,,,XGBClassifier,2.9945,0.8187,-0.1268,-0.0834,0.9166,0.873,0.9567,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
