algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Massaging,XGBClassifier,Other,0.5317,0.8612,0.1571,0.0619,0.9389,0.8351,0.9488,"[8977, 1813, 1129, 2368]",0.7969,0.6187,0.6764,0.5735,0.4866,0.6764,0.8359
Massaging,RandomForestClassifier,White,1.4644,0.928,0.0028,-0.0354,0.9648,0.9892,0.9396,"[6435, 764, 1005, 1320]",0.8143,0.597,0.5635,0.6348,0.4784,0.5635,0.8953
Massaging,XGBClassifier,White,1.6299,0.9144,-0.0719,-0.0294,0.9707,0.926,0.9618,"[9867, 923, 1428, 2069]",0.8354,0.6377,0.5916,0.6915,0.5348,0.5916,0.9145
Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.7921,0.9669,0.1634,-0.0134,0.9824,0.8546,0.9495,"[6758, 441, 1313, 1012]",0.8166,0.5442,0.4486,0.6918,0.4519,0.4486,0.9354
Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.5818,0.921,0.065,0.0148,0.9836,0.9181,0.9599,"[9940, 850, 1658, 1839]",0.8245,0.5946,0.5259,0.6839,0.4918,0.5259,0.9212
Reweighing,RandomForestClassifier,Asian-Pac-Islander,1.3541,0.9252,-0.0493,-0.0261,0.9726,0.9501,0.9483,"[6497, 702, 1043, 1282]",0.817,0.6002,0.5627,0.643,0.484,0.5627,0.8991
Reweighing,XGBClassifier,Asian-Pac-Islander,1.0622,0.9859,0.003,-0.0014,0.9999,0.9938,0.9648,"[9690, 1100, 1354, 2143]",0.8282,0.6359,0.6128,0.6608,0.5244,0.6128,0.8981
Reweighing,RandomForestClassifier,Black,0.4288,0.8594,0.1249,0.0658,0.9345,0.8759,0.9539,"[6356, 843, 941, 1384]",0.8136,0.6089,0.5944,0.6241,0.4869,0.5944,0.8844
Reweighing,XGBClassifier,Black,0.4899,0.8391,0.1174,0.0854,0.9141,0.8832,0.9557,"[9063, 1727, 936, 2561]",0.8136,0.6579,0.7323,0.5972,0.5369,0.7323,0.8399
Reweighing,RandomForestClassifier,Other,0.2571,0.8469,0.1813,0.0606,0.9409,0.8187,0.9438,"[6513, 686, 1033, 1292]",0.8182,0.5952,0.5477,0.6519,0.4822,0.5477,0.9055
Reweighing,XGBClassifier,Other,0.4834,0.8712,0.1399,0.0534,0.9454,0.86,0.9616,"[9480, 1310, 1261, 2236]",0.82,0.635,0.6394,0.6306,0.5156,0.6394,0.8786
