dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Asian-Pac-Islander,DisparateImpactRemover,RandomForestClassifier,1.3164,0.9298,-0.0482,-0.019,0.9796,0.9505,0.9569,"[6410, 789, 979, 1346]",0.8144,0.6036,0.5789,0.6304,0.4834,0.5789,0.8904
Adult Income,race,Black,DisparateImpactRemover,RandomForestClassifier,0.4041,0.8562,0.1254,0.0698,0.9301,0.8775,0.9549,"[6390, 809, 968, 1357]",0.8134,0.6043,0.5837,0.6265,0.483,0.5837,0.8876
Adult Income,race,Other,DisparateImpactRemover,RandomForestClassifier,0.3815,0.863,0.0687,0.0488,0.954,0.9313,0.9573,"[6421, 778, 1003, 1322]",0.813,0.5975,0.5686,0.6295,0.4772,0.5686,0.8919
Adult Income,race,White,DisparateImpactRemover,RandomForestClassifier,1.7226,0.901,-0.0603,-0.0536,0.9461,0.938,0.9551,"[6411, 788, 1001, 1324]",0.8122,0.5968,0.5695,0.6269,0.4757,0.5695,0.8905
,,,,XGBClassifier,0.4558,0.8775,0.1366,0.0498,0.9506,0.8637,0.9608,"[9772, 1018, 1464, 2033]",0.8263,0.621,0.5814,0.6663,0.5109,0.5814,0.9057
Adult Income,race,Amer-Indian-Eskimo,DisparateImpactRemover,RandomForestClassifier,0.5487,0.9125,0.2895,0.01,0.9942,0.7255,0.9467,"[6574, 625, 1110, 1215]",0.8178,0.5834,0.5226,0.6603,0.4741,0.5226,0.9132
Adult Income,race,Asian-Pac-Islander,DisparateImpactRemover,RandomForestClassifier,1.7017,0.8704,-0.1497,-0.059,0.9389,0.8474,0.9479,"[6588, 611, 1138, 1187]",0.8164,0.5758,0.5105,0.6602,0.4672,0.5105,0.9151
Adult Income,race,Black,DisparateImpactRemover,RandomForestClassifier,0.4516,0.8879,0.0567,0.0481,0.9516,0.9469,0.9466,"[6580, 619, 1100, 1225]",0.8195,0.5877,0.5269,0.6643,0.4793,0.5269,0.914
Adult Income,race,Other,DisparateImpactRemover,RandomForestClassifier,0.3612,0.8755,0.0207,0.0441,0.958,0.9791,0.9465,"[6562, 637, 1114, 1211]",0.8161,0.5804,0.5209,0.6553,0.4697,0.5209,0.9115
Adult Income,race,White,DisparateImpactRemover,RandomForestClassifier,1.4419,0.9376,0.007,-0.0267,0.9732,0.9938,0.9459,"[6568, 631, 1103, 1222]",0.8179,0.585,0.5256,0.6595,0.4752,0.5256,0.9123
,,,,XGBClassifier,0.4486,0.926,0.0601,0.0332,0.9683,0.9257,0.9675,"[10140, 650, 2239, 1258]",0.7978,0.4655,0.3597,0.6593,0.3785,0.3597,0.9398
Adult Income,race,Amer-Indian-Eskimo,DisparateImpactRemover,RandomForestClassifier,0.7166,0.9411,0.1954,0.0077,0.9972,0.8267,0.9465,"[6498, 701, 1053, 1272]",0.8158,0.5919,0.5471,0.6447,0.4767,0.5471,0.9026
Adult Income,race,Asian-Pac-Islander,DisparateImpactRemover,RandomForestClassifier,1.4803,0.9011,-0.0999,-0.0344,0.964,0.8975,0.9466,"[6484, 715, 1050, 1275]",0.8147,0.591,0.5484,0.6407,0.4745,0.5484,0.9007
Adult Income,race,Black,DisparateImpactRemover,RandomForestClassifier,0.4749,0.8841,0.0629,0.0497,0.9506,0.9316,0.9459,"[6485, 714, 1044, 1281]",0.8154,0.5931,0.551,0.6421,0.4769,0.551,0.9008
Adult Income,race,Other,DisparateImpactRemover,RandomForestClassifier,0.3364,0.8611,0.3077,0.0363,0.9665,0.6925,0.9456,"[6510, 689, 1030, 1295]",0.8195,0.6011,0.557,0.6527,0.4879,0.557,0.9043
Adult Income,race,White,DisparateImpactRemover,RandomForestClassifier,1.5687,0.9193,-0.0276,-0.0399,0.96,0.9714,0.943,"[6476, 723, 1040, 1285]",0.8149,0.5931,0.5527,0.6399,0.4763,0.5527,0.8996
,,,,XGBClassifier,1.713,0.9031,-0.0902,-0.0405,0.9599,0.9107,0.9598,"[9756, 1034, 1401, 2096]",0.8296,0.6326,0.5994,0.6696,0.5234,0.5994,0.9042
Adult Income,sex,Female,DisparateImpactRemover,RandomForestClassifier,0.7521,0.9765,-0.1236,-0.0083,0.9917,0.8758,0.9679,"[6980, 219, 1714, 611]",0.797,0.3873,0.2628,0.7361,0.3539,0.2628,0.9696
Adult Income,sex,Male,DisparateImpactRemover,RandomForestClassifier,1.3769,0.9729,0.1258,0.0047,0.9953,0.8729,0.9655,"[6967, 232, 1699, 626]",0.7972,0.3933,0.2692,0.7296,0.3556,0.2692,0.9678
,,,,XGBClassifier,0.4649,0.8812,-0.0009,0.0423,0.9576,0.9984,0.9616,"[10031, 759, 1650, 1847]",0.8314,0.6053,0.5282,0.7087,0.5097,0.5282,0.9297
Adult Income,sex,Female,DisparateImpactRemover,RandomForestClassifier,0.2431,0.7886,0.1843,0.1152,0.8849,0.8151,0.9371,"[6488, 711, 1037, 1288]",0.8165,0.5957,0.554,0.6443,0.4802,0.554,0.9012
Adult Income,sex,Male,DisparateImpactRemover,RandomForestClassifier,4.1921,0.789,-0.1809,-0.1156,0.8842,0.8182,0.9379,"[6495, 704, 1050, 1275]",0.8158,0.5925,0.5484,0.6443,0.4771,0.5484,0.9022
,,,,XGBClassifier,3.5716,0.8079,-0.1745,-0.0895,0.9106,0.8244,0.959,"[9929, 861, 1460, 2037]",0.8375,0.6371,0.5825,0.7029,0.5375,0.5825,0.9202
