dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,,Other,0.6262,0.9243,0.1357,0.0236,0.982,0.8644,0.9242,,,,,,,,
,,,,,White,0.9916,0.9983,0.0632,0.017,0.983,0.9373,0.9242,,,,,,,,
,,,,,Average,0.9971,0.9592,0.0295,-0.0141,0.9715,0.916,0.9242,,,,,,,,
,,,,,Std,0.2856,0.0401,0.0866,0.0361,0.0245,0.0288,0.0,,,,,,,,
Adult Income,sex,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,1.0989,0.9805,-0.0929,-0.0692,0.9308,0.9073,0.9209,"[6163, 1036, 1423, 902]",0.7418,0.4232,0.388,0.4654,0.2604,0.388,0.8561
,,,,,Male,0.91,0.9805,0.0929,0.0692,0.9308,0.9073,0.9209,,,,,,,,
,,,,,Average,1.0044,0.9805,0.0,0.0,0.9308,0.9073,0.9209,,,,,,,,
,,,,,Std,0.0944,0.0,0.0929,0.0692,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Female,1.1674,0.9685,-0.1092,-0.0859,0.9142,0.8897,0.9409,"[9420, 1370, 2028, 1469]",0.7622,0.4637,0.4201,0.5174,0.3158,0.4201,0.873
,,,,,Male,0.8566,0.9685,0.1092,0.0859,0.9142,0.8897,0.9409,,,,,,,,
,,,,,Average,1.012,0.9685,0.0,0.0,0.9142,0.8897,0.9409,,,,,,,,
,,,,,Std,0.1554,0.0,0.1092,0.0859,0.0,0.0,0.0,,,,,,,,
