dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Other,Reweighing,RandomForestClassifier,0.1708,0.8631,0.2153,0.0525,0.9482,0.7847,0.9494,"[6717, 482, 1244, 1081]",0.8188,0.5561,0.4649,0.6916,0.4616,0.4649,0.933
Adult Income,race,White,Reweighing,RandomForestClassifier,1.4746,0.9504,0.003,-0.0185,0.9818,0.9986,0.9517,"[6783, 416, 1342, 983]",0.8154,0.5279,0.4228,0.7026,0.4429,0.4228,0.9422
,,,,XGBClassifier,0.5818,0.921,0.065,0.0148,0.9836,0.9181,0.9599,"[9940, 850, 1658, 1839]",0.8245,0.5946,0.5259,0.6839,0.4918,0.5259,0.9212
Adult Income,race,Amer-Indian-Eskimo,Reweighing,RandomForestClassifier,0.5752,0.9057,0.2806,0.0307,0.9735,0.7378,0.9495,"[6426, 773, 993, 1332]",0.8146,0.6014,0.5729,0.6328,0.4819,0.5729,0.8926
Adult Income,race,Asian-Pac-Islander,Reweighing,RandomForestClassifier,1.3634,0.923,-0.0448,-0.032,0.9664,0.955,0.9482,"[6467, 732, 1016, 1309]",0.8165,0.5996,0.563,0.6414,0.4829,0.563,0.8983
Adult Income,race,Black,Reweighing,RandomForestClassifier,0.4764,0.8837,0.0243,0.0539,0.9461,0.9725,0.9474,"[6492, 707, 1024, 1301]",0.8182,0.6005,0.5596,0.6479,0.4859,0.5596,0.9018
Adult Income,race,Other,Reweighing,RandomForestClassifier,0.3299,0.857,0.3109,0.0407,0.9621,0.689,0.9511,"[6479, 720, 1022, 1303]",0.8171,0.5994,0.5604,0.6441,0.4835,0.5604,0.9
Adult Income,race,White,Reweighing,RandomForestClassifier,1.5546,0.9202,-0.0208,-0.0396,0.9603,0.979,0.9491,"[6478, 721, 1025, 1300]",0.8167,0.5983,0.5591,0.6432,0.4822,0.5591,0.8998
,,,,XGBClassifier,1.0622,0.9859,0.003,-0.0014,0.9999,0.9938,0.9648,"[9690, 1100, 1354, 2143]",0.8282,0.6359,0.6128,0.6608,0.5244,0.6128,0.8981
Adult Income,race,Amer-Indian-Eskimo,Reweighing,RandomForestClassifier,0.4503,0.8701,0.3682,0.0406,0.9636,0.6467,0.9531,"[6356, 843, 928, 1397]",0.814,0.612,0.6009,0.6237,0.49,0.6009,0.8829
Adult Income,race,Asian-Pac-Islander,Reweighing,RandomForestClassifier,1.3386,0.9229,-0.0441,-0.0251,0.973,0.9539,0.9535,"[6385, 814, 948, 1377]",0.815,0.6098,0.5923,0.6285,0.4891,0.5923,0.8869
Adult Income,race,Black,Reweighing,RandomForestClassifier,0.4329,0.8601,0.1131,0.065,0.9353,0.8816,0.9532,"[6370, 829, 933, 1392]",0.815,0.6124,0.5987,0.6267,0.4912,0.5987,0.8848
Adult Income,race,Other,Reweighing,RandomForestClassifier,0.3032,0.8382,0.3442,0.0548,0.948,0.6559,0.9546,"[6378, 821, 945, 1380]",0.8146,0.6098,0.5935,0.627,0.4886,0.5935,0.886
Adult Income,race,White,Reweighing,RandomForestClassifier,1.6716,0.901,-0.0593,-0.0525,0.9475,0.9405,0.9529,"[6369, 830, 944, 1381]",0.8137,0.6089,0.594,0.6246,0.487,0.594,0.8847
,,,,XGBClassifier,0.4899,0.8391,0.1174,0.0854,0.9141,0.8832,0.9557,"[9063, 1727, 936, 2561]",0.8136,0.6579,0.7323,0.5972,0.5369,0.7323,0.8399
Adult Income,race,Amer-Indian-Eskimo,Reweighing,RandomForestClassifier,0.6573,0.9279,0.2028,0.0216,0.9826,0.8193,0.9438,"[6491, 708, 1036, 1289]",0.8169,0.5965,0.5544,0.6455,0.4813,0.5544,0.9017
Adult Income,race,Asian-Pac-Islander,Reweighing,RandomForestClassifier,1.525,0.8929,-0.1102,-0.0396,0.9587,0.8863,0.944,"[6521, 678, 1028, 1297]",0.8209,0.6033,0.5578,0.6567,0.4913,0.5578,0.9058
Adult Income,race,Black,Reweighing,RandomForestClassifier,0.4518,0.8817,0.0478,0.0536,0.9463,0.9475,0.9442,"[6520, 679, 1057, 1268]",0.8177,0.5936,0.5454,0.6513,0.4804,0.5454,0.9057
Adult Income,race,Other,Reweighing,RandomForestClassifier,0.3259,0.8544,-0.1841,0.0723,0.9289,0.8157,0.9428,"[6467, 732, 1009, 1316]",0.8172,0.6019,0.566,0.6426,0.4855,0.566,0.8983
Adult Income,race,White,Reweighing,RandomForestClassifier,1.4402,0.9345,0.0204,-0.032,0.9679,0.9787,0.9453,"[6511, 688, 1062, 1263]",0.8163,0.5907,0.5432,0.6474,0.4765,0.5432,0.9044
,,,,XGBClassifier,0.4834,0.8712,0.1399,0.0534,0.9454,0.86,0.9616,"[9480, 1310, 1261, 2236]",0.82,0.635,0.6394,0.6306,0.5156,0.6394,0.8786
Adult Income,race,Amer-Indian-Eskimo,Reweighing,RandomForestClassifier,0.5931,0.9124,0.2653,0.027,0.9772,0.7534,0.9395,"[6453, 746, 1029, 1296]",0.8136,0.5935,0.5574,0.6347,0.475,0.5574,0.8964
Adult Income,race,Asian-Pac-Islander,Reweighing,RandomForestClassifier,1.5638,0.8821,-0.139,-0.0424,0.9554,0.856,0.9397,"[6472, 727, 1025, 1300]",0.816,0.5974,0.5591,0.6413,0.4808,0.5591,0.899
Adult Income,race,Black,Reweighing,RandomForestClassifier,0.5171,0.8925,0.0144,0.0475,0.9531,0.9824,0.9393,"[6457, 742, 1046, 1279]",0.8123,0.5886,0.5501,0.6329,0.4697,0.5501,0.8969
Adult Income,race,Other,Reweighing,RandomForestClassifier,0.3995,0.873,0.2986,0.0272,0.9762,0.7015,0.9384,"[6467, 732, 1051, 1274]",0.8128,0.5883,0.548,0.6351,0.4701,0.548,0.8983
Adult Income,race,White,Reweighing,RandomForestClassifier,1.4188,0.9342,0.0206,-0.0327,0.9677,0.9781,0.9395,"[6460, 739, 1032, 1293]",0.814,0.5935,0.5561,0.6363,0.4755,0.5561,0.8973
,,,,XGBClassifier,1.6921,0.9128,-0.0988,-0.0277,0.9727,0.9021,0.9613,"[9936, 854, 1481, 2016]",0.8366,0.6333,0.5765,0.7024,0.5337,0.5765,0.9209
Adult Income,sex,Female,Reweighing,RandomForestClassifier,0.4159,0.8764,-0.0128,0.0568,0.9432,0.9868,0.9398,"[6652, 547, 1244, 1081]",0.8119,0.5469,0.4649,0.664,0.4438,0.4649,0.924
Adult Income,sex,Male,Reweighing,RandomForestClassifier,2.3271,0.8791,-0.0029,-0.0488,0.9514,0.9971,0.9405,"[6657, 542, 1226, 1099]",0.8144,0.5542,0.4727,0.6697,0.452,0.4727,0.9247
,,,,XGBClassifier,0.429,0.8435,0.0445,0.068,0.932,0.9557,0.9553,"[9745, 1045, 1370, 2127]",0.831,0.6379,0.6082,0.6706,0.529,0.6082,0.9032
Adult Income,sex,Female,Reweighing,RandomForestClassifier,0.3377,0.8321,0.0968,0.0832,0.9169,0.9046,0.9352,"[6523, 676, 1111, 1214]",0.8124,0.576,0.5222,0.6423,0.4613,0.5222,0.9061
Adult Income,sex,Male,Reweighing,RandomForestClassifier,2.9587,0.8294,-0.0927,-0.0857,0.9143,0.9064,0.934,"[6509, 690, 1094, 1231]",0.8127,0.5798,0.5295,0.6408,0.4642,0.5295,0.9042
,,,,XGBClassifier,1.6447,0.9131,0.0943,-0.0166,0.9832,0.9067,0.9566,"[9955, 835, 1578, 1919]",0.8311,0.614,0.5488,0.6968,0.5138,0.5488,0.9226
