dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,,Black,1.0049,0.999,0.103,-0.0818,0.9177,0.8996,0.9533,,,,,,,,
,,,,,Other,0.7609,0.9508,0.1418,-0.0133,0.9808,0.8865,0.9533,,,,,,,,
,,,,,White,1.0604,0.9882,-0.0944,0.0578,0.942,0.9034,0.9533,,,,,,,,
,,,,,Average,0.9179,0.9778,0.0494,-0.0085,0.9567,0.9167,0.9533,,,,,,,,
,,,,,Std,0.1064,0.0165,0.0851,0.0481,0.0235,0.0353,0.0,,,,,,,,
Adult Income,race,sex,Massaging,LogisticRegression,Amer-Indian-Eskimo,0.0,0.991,0.0095,0.0088,0.9912,0.9905,0.9933,"[7136, 63, 2303, 22]",0.7516,0.0183,0.0095,0.2588,0.0032,0.0095,0.9912
,,,,,Asian-Pac-Islander,1.4432,0.9961,-0.0002,-0.0056,0.9937,0.9993,0.9933,,,,,,,,
,,,,,Black,2.3671,0.9892,-0.0282,-0.0086,0.9918,0.97,0.9933,,,,,,,,
,,,,,Other,1.5843,0.9948,0.0094,-0.0062,0.9931,0.9905,0.9933,,,,,,,,
,,,,,White,0.4843,0.9918,0.0131,0.0073,0.9928,0.9858,0.9933,,,,,,,,
,,,,,Average,1.1758,0.9926,0.0007,-0.0009,0.9925,0.9872,0.9933,,,,,,,,
,,,,,Std,0.8388,0.0025,0.0151,0.0074,0.0009,0.0097,0.0,,,,,,,,
Adult Income,sex,sex,Massaging,LogisticRegression,Female,11.0,0.979,-0.032,-0.0209,0.9792,0.9693,0.9935,"[7136, 63, 2303, 22]",0.7516,0.0183,0.0095,0.2588,0.0032,0.0095,0.9912
,,,,,Male,0.0909,0.979,0.032,0.0209,0.9792,0.9693,0.9935,,,,,,,,
,,,,,Average,5.5454,0.979,0.0,0.0,0.9792,0.9693,0.9935,,,,,,,,
,,,,,Std,5.4546,0.0,0.032,0.0209,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Female,1.2091,0.9619,-0.1204,-0.0892,0.9106,0.8799,0.9393,"[9434, 1356, 2069, 1428]",0.7603,0.4547,0.4084,0.5129,0.3068,0.4084,0.8743
,,,,,Male,0.8271,0.9619,0.1204,0.0892,0.9106,0.8799,0.9393,,,,,,,,
,,,,,Average,1.0181,0.9619,0.0,0.0,0.9106,0.8799,0.9393,,,,,,,,
,,,,,Std,0.191,0.0,0.1204,0.0892,0.0,0.0,0.0,,,,,,,,
