dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Other,Massaging,RandomForestClassifier,0.7038,0.917,0.3077,-0.0039,0.9975,0.6925,0.9361,"[5831, 1368, 1030, 1295]",0.7482,0.5192,0.557,0.4863,0.3512,0.557,0.81
Adult Income,race,White,Massaging,RandomForestClassifier,1.3937,0.9196,-0.1123,-0.0328,0.9673,0.887,0.9383,"[5864, 1335, 1060, 1265]",0.7485,0.5137,0.5441,0.4865,0.3458,0.5441,0.8146
,,,,XGBClassifier,0.7716,0.9367,0.1352,-0.0047,0.9948,0.8677,0.9445,"[8917, 1873, 1497, 2000]",0.7641,0.5427,0.5719,0.5164,0.3853,0.5719,0.8264
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.6119,0.9123,0.2863,0.0215,0.9834,0.7322,0.9404,"[6400, 799, 980, 1345]",0.8132,0.6019,0.5785,0.6273,0.4808,0.5785,0.889
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.3227,0.9272,-0.0578,-0.0188,0.9796,0.9404,0.9392,"[6375, 824, 978, 1347]",0.8108,0.5992,0.5794,0.6205,0.476,0.5794,0.8855
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4873,0.881,0.0277,0.0581,0.9423,0.9693,0.9419,"[6406, 793, 1017, 1308]",0.81,0.5911,0.5626,0.6226,0.4687,0.5626,0.8898
Adult Income,race,Other,Massaging,RandomForestClassifier,0.185,0.8137,0.329,0.0848,0.9166,0.6709,0.9411,"[6379, 820, 980, 1345]",0.811,0.5991,0.5785,0.6212,0.4762,0.5785,0.8861
Adult Income,race,White,Massaging,RandomForestClassifier,1.493,0.9195,-0.0016,-0.0422,0.9576,0.996,0.939,"[6355, 844, 957, 1368]",0.8109,0.603,0.5884,0.6184,0.4793,0.5884,0.8828
,,,,XGBClassifier,0.4752,0.8403,0.2207,0.0727,0.9276,0.7794,0.9451,"[8978, 1812, 980, 2517]",0.8046,0.6432,0.7198,0.5814,0.5163,0.7198,0.8321
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.6289,0.9184,0.2205,0.0283,0.9758,0.8016,0.9392,"[6443, 756, 995, 1330]",0.8161,0.603,0.572,0.6376,0.4851,0.572,0.895
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.5473,0.8832,-0.1303,-0.0508,0.9514,0.8657,0.9405,"[6429, 770, 1027, 1298]",0.8113,0.5909,0.5583,0.6277,0.4702,0.5583,0.893
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4781,0.8822,0.0489,0.0519,0.9484,0.9472,0.9404,"[6471, 728, 1012, 1313]",0.8173,0.6015,0.5647,0.6433,0.4853,0.5647,0.8989
Adult Income,race,Other,Massaging,RandomForestClassifier,0.393,0.8695,0.3077,0.029,0.9745,0.6925,0.9409,"[6455, 744, 1030, 1295]",0.8137,0.5935,0.557,0.6351,0.4751,0.557,0.8967
Adult Income,race,White,Massaging,RandomForestClassifier,1.4894,0.9258,0.0095,-0.0393,0.9608,0.9893,0.9405,"[6456, 743, 1019, 1306]",0.815,0.5972,0.5617,0.6374,0.4793,0.5617,0.8968
,,,,XGBClassifier,1.6299,0.9144,-0.0719,-0.0294,0.9707,0.926,0.9618,"[9867, 923, 1428, 2069]",0.8354,0.6377,0.5916,0.6915,0.5348,0.5916,0.9145
Adult Income,sex,Female,Massaging,RandomForestClassifier,0.4238,0.8915,-0.1318,0.1019,0.8983,0.8675,0.9349,"[6477, 722, 1592, 733]",0.757,0.3878,0.3153,0.5038,0.2567,0.3153,0.8997
Adult Income,sex,Male,Massaging,RandomForestClassifier,2.8693,0.8684,0.0611,-0.1164,0.8835,0.9373,0.9324,"[6448, 751, 1564, 761]",0.7569,0.3967,0.3273,0.5033,0.2621,0.3273,0.8957
,,,,XGBClassifier,0.5986,0.93,-0.2452,0.0748,0.9252,0.7555,0.9471,"[9824, 966, 2305, 1192]",0.7711,0.4216,0.3409,0.5524,0.3018,0.3409,0.9105
Adult Income,sex,Female,Massaging,RandomForestClassifier,0.2923,0.8032,0.1332,0.1075,0.8926,0.8684,0.9365,"[6452, 747, 1039, 1286]",0.8125,0.5902,0.5531,0.6326,0.4711,0.5531,0.8962
Adult Income,sex,Male,Massaging,RandomForestClassifier,3.3281,0.807,-0.1181,-0.1044,0.8956,0.8813,0.9361,"[6463, 736, 1037, 1288]",0.8138,0.5923,0.554,0.6364,0.4744,0.554,0.8978
,,,,XGBClassifier,2.9945,0.8187,-0.1268,-0.0834,0.9166,0.873,0.9567,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
