dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,,0.9919,0.998,0.0058,0.0252,0.973,0.9989,0.9625,,,,,,,,
,,,,,0.4699,0.8627,0.1472,0.0603,0.9399,0.8555,0.9621,,,,,,,,
,,,,,0.4877,0.8734,0.1407,0.0365,0.9581,0.8595,0.9621,,,,,,,,
,,,,,1.7721,0.8858,-0.096,-0.0574,0.943,0.9031,0.9623,,,,,,,,
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.3782,0.8251,0.322,0.1149,0.8892,0.6926,0.9411,"[5826, 1373, 1034, 1291]",0.7473,0.5175,0.5553,0.4846,0.3489,0.5553,0.8093
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,0.9428,0.984,0.0889,0.0292,0.969,0.9145,0.9347,"[5836, 1363, 1031, 1294]",0.7486,0.5195,0.5566,0.487,0.3517,0.5566,0.8107
Adult Income,race,Black,Massaging,RandomForestClassifier,0.7059,0.9157,0.0919,0.0228,0.9772,0.9118,0.9391,"[5849, 1350, 1022, 1303]",0.7509,0.5235,0.5604,0.4911,0.3573,0.5604,0.8125
Adult Income,race,Other,Massaging,RandomForestClassifier,0.6504,0.9016,0.3072,0.0127,0.98,0.6929,0.9344,"[5819, 1380, 1031, 1294]",0.7469,0.5177,0.5566,0.4839,0.3488,0.5566,0.8083
Adult Income,race,White,Massaging,RandomForestClassifier,1.4142,0.9146,-0.1147,-0.0363,0.9638,0.8853,0.939,"[5849, 1350, 1015, 1310]",0.7517,0.5256,0.5634,0.4925,0.3599,0.5634,0.8125
Adult Income,race,,,XGBClassifier,0.4326,0.8414,0.1241,0.1157,0.8827,0.9142,0.9452,"[8863, 1927, 1450, 2047]",0.7636,0.548,0.5854,0.5151,0.3903,0.5854,0.8214
,,,,,0.7995,0.9439,0.101,0.0533,0.9449,0.8984,0.9449,,,,,,,,
,,,,,0.7504,0.9289,0.124,0.0048,0.9957,0.8773,0.9443,,,,,,,,
,,,,,0.6477,0.9017,0.2861,0.0282,0.975,0.7708,0.9447,,,,,,,,
,,,,,1.3921,0.9184,-0.1231,-0.0257,0.9745,0.8754,0.9443,,,,,,,,
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.5807,0.9078,0.2554,0.0361,0.9681,0.7629,0.9388,"[6388, 811, 1051, 1274]",0.8045,0.5778,0.548,0.611,0.4522,0.548,0.8873
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.4941,0.8992,-0.1209,-0.0302,0.9682,0.8769,0.9392,"[6455, 744, 1096, 1229]",0.8068,0.5719,0.5286,0.6229,0.4507,0.5286,0.8967
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4877,0.8856,0.0825,0.0479,0.9515,0.9208,0.9397,"[6438, 761, 1064, 1261]",0.8084,0.5802,0.5424,0.6236,0.4587,0.5424,0.8943
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3995,0.873,0.0314,0.0477,0.955,0.9688,0.939,"[6428, 771, 1090, 1235]",0.8046,0.5703,0.5312,0.6157,0.4468,0.5312,0.8929
Adult Income,race,White,Massaging,RandomForestClassifier,1.464,0.9258,-0.0185,-0.0354,0.9645,0.9814,0.9402,"[6366, 833, 1030, 1295]",0.8044,0.5816,0.557,0.6086,0.4551,0.557,0.8843
Adult Income,race,,,XGBClassifier,0.5253,0.8808,0.0504,0.0768,0.9216,0.9666,0.9497,"[9278, 1512, 1438, 2059]",0.7935,0.5826,0.5888,0.5766,0.4455,0.5888,0.8599
,,,,,1.0738,0.9816,-0.0219,0.004,0.998,0.9814,0.9496,,,,,,,,
,,,,,0.6293,0.904,0.1189,0.0274,0.9728,0.8797,0.9494,,,,,,,,
,,,,,0.6247,0.9059,0.089,0.0308,0.975,0.9109,0.9494,,,,,,,,
,,,,,1.4294,0.9216,-0.0687,-0.028,0.9718,0.9325,0.9493,,,,,,,,
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.6762,0.9287,0.1592,0.0296,0.9746,0.8667,0.94,"[6434, 765, 1000, 1325]",0.8147,0.6002,0.5699,0.634,0.4812,0.5699,0.8937
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.4449,0.9052,-0.0992,-0.028,0.9703,0.8978,0.9387,"[6440, 759, 1026, 1299]",0.8126,0.5927,0.5587,0.6312,0.4731,0.5587,0.8946
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4699,0.8783,0.0693,0.0542,0.9463,0.9258,0.9397,"[6440, 759, 1009, 1316]",0.8144,0.5982,0.566,0.6342,0.4793,0.566,0.8946
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3255,0.8541,0.3122,0.0441,0.9586,0.6877,0.9386,"[6454, 745, 1019, 1306]",0.8148,0.5969,0.5617,0.6368,0.4789,0.5617,0.8965
Adult Income,race,White,Massaging,RandomForestClassifier,1.4733,0.9273,-0.0043,-0.0354,0.9649,0.9964,0.9383,"[6449, 750, 1020, 1305]",0.8142,0.5959,0.5613,0.635,0.4773,0.5613,0.8958
Adult Income,race,,,XGBClassifier,0.5226,0.8996,-0.024,0.0606,0.9406,0.9804,0.9621,"[9867, 923, 1428, 2069]",0.8354,0.6377,0.5916,0.6915,0.5348,0.5916,0.9145
,,,,,1.2724,0.9434,-0.0441,-0.0376,0.9628,0.9577,0.9622,,,,,,,,
,,,,,0.4604,0.8809,0.1474,0.0413,0.9586,0.8529,0.9622,,,,,,,,
,,,,,0.4584,0.8861,0.1923,0.031,0.9719,0.8363,0.9619,,,,,,,,
,,,,,1.6299,0.9144,-0.0719,-0.0294,0.9707,0.926,0.9618,,,,,,,,
Adult Income,sex,Female,Massaging,RandomForestClassifier,0.3558,0.8671,-0.0553,0.1148,0.8852,0.9429,0.932,"[6435, 764, 1539, 786]",0.7582,0.4057,0.3381,0.5071,0.2699,0.3381,0.8939
Adult Income,sex,Male,Massaging,RandomForestClassifier,2.6993,0.8717,0.0662,-0.1118,0.8883,0.9349,0.9315,"[6436, 763, 1548, 777]",0.7573,0.4021,0.3342,0.5045,0.2663,0.3342,0.894
Adult Income,sex,,,XGBClassifier,0.5873,0.922,-0.2316,0.0786,0.9213,0.7679,0.9467,"[9739, 1051, 2220, 1277]",0.7711,0.4385,0.3652,0.5485,0.3117,0.3652,0.9026
,,,,,1.7027,0.922,0.2316,-0.0786,0.9213,0.7679,0.9467,,,,,,,,
Adult Income,sex,Female,Massaging,RandomForestClassifier,0.2844,0.8015,0.138,0.1065,0.8935,0.8633,0.937,"[6474, 725, 1029, 1296]",0.8158,0.5964,0.5574,0.6413,0.4798,0.5574,0.8993
Adult Income,sex,Male,Massaging,RandomForestClassifier,3.49,0.7998,-0.1409,-0.1066,0.8933,0.8607,0.9371,"[6468, 731, 1010, 1315]",0.8172,0.6017,0.5656,0.6427,0.4854,0.5656,0.8985
Adult Income,sex,,,XGBClassifier,0.3339,0.8187,0.1268,0.0834,0.9166,0.873,0.9567,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
,,,,,2.9945,0.8187,-0.1268,-0.0834,0.9166,0.873,0.9567,,,,,,,,
