dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,,Asian-Pac-Islander,1.3248,0.9315,-0.0429,-0.021,0.9778,0.957,0.9374,,,,,,,,
,,,,,Black,0.4564,0.8777,0.0859,0.0551,0.9451,0.9176,0.9374,,,,,,,,
,,,,,Other,0.2628,0.8421,0.3052,0.0585,0.9436,0.6946,0.9374,,,,,,,,
,,,,,White,1.6588,0.9102,-0.0445,-0.0467,0.9531,0.9541,0.9374,,,,,,,,
,,,,,Average,0.8,0.8822,0.1132,0.0274,0.9459,0.8559,0.9374,,,,,,,,
,,,,,Std,0.5783,0.0344,0.1477,0.0522,0.0218,0.1092,0.0,,,,,,,,
Adult Income,sex,race,Massaging,RandomForestClassifier,Female,0.2945,0.8038,0.138,0.1047,0.8956,0.8633,0.9352,"[6460, 739, 1029, 1296]",0.8144,0.5945,0.5574,0.6369,0.4766,0.5574,0.8973
,,,,,Male,3.3956,0.8038,-0.138,-0.1047,0.8956,0.8633,0.9352,,,,,,,,
,,,,,Average,1.845,0.8038,0.0,0.0,0.8956,0.8633,0.9352,,,,,,,,
,,,,,Std,1.5505,0.0,0.138,0.1047,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.4099,0.8775,0.2224,0.069,0.933,0.7963,0.9381,"[6430, 769, 1128, 1197]",0.8008,0.5579,0.5148,0.6089,0.433,0.5148,0.8932
,,,,,Asian-Pac-Islander,0.7477,0.9475,0.1763,0.0417,0.9567,0.8209,0.9381,,,,,,,,
,,,,,Black,0.9503,0.9897,0.0533,-0.063,0.9373,0.9496,0.9381,,,,,,,,
,,,,,Other,0.2038,0.8347,0.2654,0.0775,0.9237,0.7347,0.9381,,,,,,,,
,,,,,White,1.2199,0.9618,-0.1315,0.0274,0.9722,0.8699,0.9381,,,,,,,,
,,,,,Average,0.7063,0.9222,0.1172,0.0305,0.9446,0.8343,0.9381,,,,,,,,
,,,,,Std,0.3648,0.0573,0.1431,0.0501,0.0175,0.0723,0.0,,,,,,,,
Adult Income,sex,race,Massaging,RandomForestClassifier,Female,0.4102,0.8489,0.0706,0.072,0.928,0.9285,0.9379,"[6425, 774, 1131, 1194]",0.8,0.5563,0.5135,0.6067,0.4308,0.5135,0.8925
,,,,,Male,2.4377,0.8489,-0.0706,-0.072,0.928,0.9285,0.9379,,,,,,,,
,,,,,Average,1.424,0.8489,0.0,0.0,0.928,0.9285,0.9379,,,,,,,,
,,,,,Std,1.0138,0.0,0.0706,0.072,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.3485,0.8607,0.2558,0.0792,0.9222,0.7625,0.9363,"[6450, 749, 1050, 1275]",0.8111,0.5863,0.5484,0.6299,0.4666,0.5484,0.896
,,,,,Asian-Pac-Islander,1.3286,0.9309,-0.0698,-0.01,0.9893,0.9292,0.9363,,,,,,,,
,,,,,Black,0.4532,0.8773,0.079,0.0578,0.9423,0.9244,0.9363,,,,,,,,
,,,,,Other,0.2636,0.8427,0.299,0.0597,0.9423,0.7011,0.9363,,,,,,,,
,,,,,White,1.6537,0.9109,-0.0278,-0.0501,0.9495,0.9711,0.9363,,,,,,,,
,,,,,Average,0.8095,0.8845,0.1072,0.0273,0.9491,0.8577,0.9363,,,,,,,,
,,,,,Std,0.5691,0.0323,0.1478,0.0491,0.0221,0.1058,0.0,,,,,,,,
Adult Income,sex,race,Massaging,RandomForestClassifier,Female,0.2884,0.8038,0.1389,0.1042,0.8958,0.8623,0.9358,"[6477, 722, 1034, 1291]",0.8156,0.5952,0.5553,0.6413,0.4787,0.5553,0.8997
,,,,,Male,3.4679,0.8038,-0.1389,-0.1042,0.8958,0.8623,0.9358,,,,,,,,
,,,,,Average,1.8782,0.8038,0.0,0.0,0.8958,0.8623,0.9358,,,,,,,,
,,,,,Std,1.5898,0.0,0.1389,0.1042,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.2987,0.8502,0.2628,0.0895,0.9112,0.7555,0.9389,"[6469, 730, 1034, 1291]",0.8148,0.5941,0.5553,0.6388,0.4768,0.5553,0.8986
,,,,,Asian-Pac-Islander,1.236,0.9503,-0.0023,-0.0127,0.9866,0.9997,0.9389,,,,,,,,
,,,,,Black,0.4634,0.8799,0.0863,0.0522,0.9481,0.9172,0.9389,,,,,,,,
,,,,,Other,0.1321,0.8147,0.3056,0.0872,0.9134,0.6942,0.9389,,,,,,,,
,,,,,White,1.7171,0.9057,-0.0638,-0.0489,0.9517,0.9339,0.9389,,,,,,,,
,,,,,Average,0.7695,0.8802,0.1177,0.0335,0.9422,0.8601,0.9389,,,,,,,,
,,,,,Std,0.6062,0.0464,0.1447,0.0553,0.0279,0.1155,0.0,,,,,,,,
Adult Income,sex,race,Massaging,RandomForestClassifier,Female,0.2982,0.8035,0.1301,0.1054,0.8949,0.8692,0.9366,"[6452, 747, 1020, 1305]",0.8145,0.5963,0.5613,0.636,0.478,0.5613,0.8962
,,,,,Male,3.3533,0.8035,-0.1301,-0.1054,0.8949,0.8692,0.9366,,,,,,,,
,,,,,Average,1.8258,0.8035,0.0,0.0,0.8949,0.8692,0.9366,,,,,,,,
,,,,,Std,1.5276,0.0,0.1301,0.1054,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Amer-Indian-Eskimo,0.2063,0.8307,0.3684,0.0747,0.9303,0.6229,0.9584,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
,,,,,Asian-Pac-Islander,1.158,0.9667,-0.013,-0.0171,0.981,0.9902,0.9584,,,,,,,,
,,,,,Black,0.4452,0.876,0.1279,0.0497,0.9504,0.8707,0.9584,,,,,,,,
,,,,,Other,0.453,0.8836,0.198,0.0324,0.9706,0.8306,0.9584,,,,,,,,
,,,,,White,1.7929,0.9001,-0.1024,-0.0399,0.9601,0.8994,0.9584,,,,,,,,
,,,,,Average,0.8111,0.8914,0.1158,0.02,0.9585,0.8428,0.9584,,,,,,,,
,,,,,Std,0.5852,0.0441,0.1643,0.0424,0.0174,0.1218,0.0,,,,,,,,
Adult Income,race,sex,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,1.8876,0.8199,0.0883,-0.2398,0.7528,0.9301,0.9175,"[6139, 1060, 1437, 888]",0.7378,0.4156,0.3819,0.4559,0.2499,0.3819,0.8528
,,,,,Asian-Pac-Islander,2.0875,0.785,-0.1733,-0.2046,0.7932,0.8292,0.9175,,,,,,,,
,,,,,Black,0.9373,0.9871,-0.0476,-0.0175,0.9829,0.9511,0.9175,,,,,,,,
,,,,,Other,0.8248,0.9641,0.132,-0.0022,0.991,0.8678,0.9175,,,,,,,,
,,,,,White,0.7826,0.9454,0.0955,0.0736,0.9262,0.9039,0.9175,,,,,,,,
,,,,,Average,1.304,0.9003,0.019,-0.0781,0.8892,0.8964,0.9175,,,,,,,,
,,,,,Std,0.564,0.0817,0.1139,0.1221,0.0983,0.0436,0.0,,,,,,,,
Adult Income,sex,sex,Massaging,RandomForestClassifier,Female,1.1068,0.9789,-0.0896,-0.0716,0.9283,0.9108,0.9129,"[6153, 1046, 1423, 902]",0.7408,0.4222,0.388,0.463,0.2584,0.388,0.8547
,,,,,Male,0.9035,0.9789,0.0896,0.0716,0.9283,0.9108,0.9129,,,,,,,,
,,,,,Average,1.0052,0.9789,0.0,0.0,0.9283,0.9108,0.9129,,,,,,,,
,,,,,Std,0.1017,0.0,0.0896,0.0716,0.0,0.0,0.0,,,,,,,,
Adult Income,race,sex,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.2951,0.8476,0.3311,0.0772,0.9243,0.6835,0.9386,"[6465, 734, 1013, 1312]",0.8166,0.6003,0.5643,0.6413,0.4836,0.5643,0.898
,,,,,Asian-Pac-Islander,1.3136,0.9333,-0.0531,-0.012,0.9872,0.9458,0.9386,,,,,,,,
,,,,,Black,0.448,0.8747,0.0771,0.0569,0.9433,0.9177,0.9386,,,,,,,,
,,,,,Other,0.1305,0.8121,0.315,0.0879,0.9129,0.6852,0.9386,,,,,,,,
,,,,,White,1.7007,0.9059,-0.0455,-0.0514,0.9489,0.9535,0.9386,,,,,,,,
,,,,,Average,0.7776,0.8747,0.1249,0.0317,0.9433,0.8371,0.9386,,,,,,,,
,,,,,Std,0.6164,0.0426,0.1683,0.0542,0.0255,0.1253,0.0,,,,,,,,
Adult Income,sex,sex,Massaging,RandomForestClassifier,Female,0.2941,0.8041,0.1333,0.1054,0.8949,0.8683,0.9355,"[6462, 737, 1032, 1293]",0.8143,0.5938,0.5561,0.6369,0.476,0.5561,0.8976
,,,,,Male,3.4007,0.8041,-0.1333,-0.1054,0.8949,0.8683,0.9355,,,,,,,,
,,,,,Average,1.8474,0.8041,0.0,0.0,0.8949,0.8683,0.9355,,,,,,,,
,,,,,Std,1.5533,0.0,0.1333,0.1054,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Female,0.3339,0.8187,0.1268,0.0834,0.9166,0.873,0.9565,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
,,,,,Male,2.9945,0.8187,-0.1268,-0.0834,0.9166,0.873,0.9565,,,,,,,,
,,,,,Average,1.6642,0.8187,0.0,0.0,0.9166,0.873,0.9565,,,,,,,,
,,,,,Std,1.3303,0.0,0.1268,0.0834,0.0,0.0,0.0,,,,,,,,
