dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.1639,0.9629,-0.0063,0.0097,0.9905,0.9941,0.9528,"[6380, 819, 976, 1349]",0.8115,0.6005,0.5802,0.6222,0.4779,0.5802,0.8862
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.3691,0.8458,0.173,0.0759,0.9241,0.828,0.9535,"[6369, 830, 969, 1356]",0.8111,0.6012,0.5832,0.6203,0.478,0.5832,0.8847
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.3078,0.8417,0.0794,0.0699,0.9323,0.9205,0.9524,"[6378, 821, 978, 1347]",0.8111,0.5996,0.5794,0.6213,0.4767,0.5794,0.886
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.8381,0.8892,-0.1139,-0.0583,0.9416,0.8867,0.9524,"[6365, 834, 997, 1328]",0.8077,0.5919,0.5712,0.6142,0.4669,0.5712,0.8842
,,,,XGBClassifier,0.3933,0.8596,0.1734,0.062,0.9381,0.8263,0.9622,"[9772, 1018, 1399, 2098]",0.8308,0.6345,0.5999,0.6733,0.5264,0.5999,0.9057
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.4621,0.8886,0.2143,0.0519,0.9501,0.8077,0.9577,"[6552, 647, 1009, 1316]",0.8261,0.6138,0.566,0.6704,0.5056,0.566,0.9101
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.6619,0.8647,-0.117,-0.0811,0.9204,0.8787,0.9568,"[6538, 661, 998, 1327]",0.8258,0.6153,0.5708,0.6675,0.5062,0.5708,0.9082
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.3984,0.8668,0.1471,0.0544,0.9455,0.8543,0.9571,"[6532, 667, 1005, 1320]",0.8244,0.6122,0.5677,0.6643,0.5023,0.5677,0.9073
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.4106,0.8787,0.0638,0.0296,0.9732,0.936,0.9578,"[6558, 641, 1014, 1311]",0.8262,0.613,0.5639,0.6716,0.5053,0.5639,0.911
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.511,0.9254,-0.021,-0.0301,0.9698,0.9797,0.9584,"[6541, 658, 985, 1340]",0.8275,0.6199,0.5763,0.6707,0.5116,0.5763,0.9086
,,,,XGBClassifier,0.5804,0.9129,0.0829,0.0168,0.982,0.9172,0.9675,"[9872, 918, 1460, 2037]",0.8336,0.6314,0.5825,0.6893,0.528,0.5825,0.9149
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.8578,0.97,0.2069,-0.0302,0.9629,0.8155,0.9484,"[6491, 708, 1027, 1298]",0.8178,0.5994,0.5583,0.6471,0.4845,0.5583,0.9017
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.6085,0.8727,-0.0807,-0.0882,0.9125,0.9168,0.9474,"[6486, 713, 1007, 1318]",0.8194,0.6051,0.5669,0.6489,0.4906,0.5669,0.901
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.3806,0.8615,0.1866,0.0569,0.943,0.8125,0.9483,"[6499, 700, 1023, 1302]",0.8191,0.6018,0.56,0.6503,0.4879,0.56,0.9028
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.4041,0.8754,0.0564,0.0364,0.9664,0.9438,0.9484,"[6509, 690, 1032, 1293]",0.8192,0.6003,0.5561,0.652,0.487,0.5561,0.9042
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.5037,0.9254,-0.0531,-0.0258,0.9746,0.9456,0.9484,"[6489, 710, 1017, 1308]",0.8187,0.6023,0.5626,0.6482,0.4877,0.5626,0.9014
,,,,XGBClassifier,1.5775,0.9203,-0.0527,-0.0268,0.9735,0.9456,0.9666,"[9880, 910, 1458, 2039]",0.8343,0.6326,0.5831,0.6914,0.5298,0.5831,0.9157
Adult Income,sex,Female,LGAFFS,RandomForestClassifier,0.3528,0.8457,0.0568,0.0761,0.9239,0.9426,0.9355,"[6577, 622, 1159, 1166]",0.813,0.567,0.5015,0.6521,0.4566,0.5015,0.9136
Adult Income,sex,Male,LGAFFS,RandomForestClassifier,2.5522,0.8662,-0.0317,-0.0614,0.9386,0.9698,0.9373,"[6619, 580, 1227, 1098]",0.8103,0.5486,0.4723,0.6544,0.4416,0.4723,0.9194
,,,,XGBClassifier,0.4753,0.8778,-0.0146,0.0451,0.955,0.9846,0.9601,"[9972, 818, 1569, 1928]",0.8329,0.6177,0.5513,0.7021,0.5189,0.5513,0.9242
Adult Income,sex,Female,LGAFFS,RandomForestClassifier,0.3099,0.8094,0.1352,0.0971,0.903,0.8667,0.9372,"[6467, 732, 1022, 1303]",0.8158,0.5977,0.5604,0.6403,0.4808,0.5604,0.8983
Adult Income,sex,Male,LGAFFS,RandomForestClassifier,3.2987,0.8053,-0.1456,-0.101,0.8992,0.8558,0.9344,"[6450, 749, 1021, 1304]",0.8142,0.5957,0.5609,0.6352,0.4772,0.5609,0.896
,,,,XGBClassifier,2.9614,0.8223,-0.1139,-0.0814,0.9186,0.8855,0.9586,"[9879, 911, 1420, 2077]",0.8368,0.6406,0.5939,0.6951,0.5386,0.5939,0.9156
