dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,0.6736,0.9171,0.9351,0.8977,0.8963,0.9329,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Black,0.7161,0.9266,0.8979,0.984,0.9841,0.8986,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Other,0.628,0.9061,0.8849,0.9448,0.9497,0.8848,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,White,1.5198,0.9095,1.1122,1.0453,0.9552,0.8903,0.9999,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.1017,0.8119,0.4693,0.9178,0.9191,0.4696,1.0,"[3229, 379, 545, 610]",0.806,0.569,0.5281,0.6168,0.4471,0.5281,0.895
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,0.6633,0.9294,0.8449,0.9388,0.9408,0.8514,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Black,0.2582,0.8342,0.6675,0.921,0.9215,0.6702,0.9999,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Other,0.5857,0.9137,0.871,0.9794,0.983,0.8713,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,White,3.0171,0.8465,1.2762,1.0778,0.9224,0.7229,0.9999,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,Amer-Indian-Eskimo,0.3956,0.87,0.9319,0.914,0.9163,0.9322,0.9998,"[3129, 479, 615, 540]",0.7703,0.4968,0.4675,0.5299,0.3499,0.4675,0.8672
Adult Income,race,Massaging,Test,Surrogate,SVC,Asian-Pac-Islander,0.8002,0.957,0.9077,0.9616,0.9613,0.9142,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,Black,0.5737,0.9049,0.8469,0.9637,0.9637,0.8464,0.9997,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,Other,1.0832,0.9822,1.1331,1.0508,0.9558,0.867,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,White,1.6031,0.9149,1.1146,1.0382,0.9616,0.8838,0.9997,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.6093,0.884,0.9119,0.948,0.954,0.9122,1.0,"[2993, 615, 361, 794]",0.7951,0.6193,0.6874,0.5635,0.4855,0.6874,0.8295
Adult Income,race,Massaging,Test,Surrogate,GaussianNB,Asian-Pac-Islander,0.8466,0.9544,0.8944,0.9508,0.9519,0.8988,1.0,,,,,,,,
