dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Female,0.9645,0.9691,1.0,0.9378,0.9378,1.0,0.89,0.7,0.8077,0.5667
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Male,1.0368,0.9691,1.0,1.0622,0.9378,1.0,0.89,0.7,0.8077,0.5667
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Female,1.0273,0.9794,1.0,1.0957,0.9043,1.0,0.76,0.66,0.7671,0.5667
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Male,0.9734,0.9794,1.0,0.9043,0.9043,1.0,0.76,0.66,0.7671,0.5667
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.7419,0.7868,0.81,0.756,0.756,0.81,0.6667,0.64,0.7534,0.5429
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.3478,0.7868,1.19,1.244,0.756,0.81,0.6667,0.64,0.7534,0.5429
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,1.0117,0.9906,1.01,1.0431,0.9569,0.99,0.8067,0.68,0.7867,0.5714
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,0.9884,0.9906,0.99,0.9569,0.9569,0.99,0.8067,0.68,0.7867,0.5714
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,Female,0.7154,0.7691,0.68,1.0191,0.9809,0.68,0.6967,0.72,0.8056,0.6476
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,Male,1.3977,0.7691,1.32,0.9809,0.9809,0.68,0.6967,0.72,0.8056,0.6476
German Credit,Attribute9,Female,Massaging,Test,2,False,Test,XGBClassifier,Female,0.8094,0.8481,0.88,0.8086,0.8086,0.88,0.69,0.65,0.7586,0.5595
