dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,Male,1.1232,0.9205,1.09,0.9665,0.9665,0.91,0.6533,0.74,0.8143,0.6905
German Credit,Attribute9,Female,Massaging,Test,2,False,Test,XGBClassifier,Female,0.7675,0.8046,0.83,0.823,0.823,0.83,0.6667,0.74,0.8243,0.6524
German Credit,Attribute9,Female,Massaging,Test,2,False,Test,XGBClassifier,Male,1.3029,0.8046,1.17,1.177,0.823,0.83,0.6667,0.74,0.8243,0.6524
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,0.7832,0.8303,0.86,0.9043,0.9043,0.86,0.7733,0.83,0.8811,0.7833
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.2769,0.8303,1.14,1.0957,0.9043,0.86,0.7733,0.83,0.8811,0.7833
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Female,0.9845,0.9883,1.0,1.0861,0.9139,1.0,0.8267,0.81,0.869,0.75
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Male,1.0158,0.9883,1.0,0.9139,0.9139,1.0,0.8267,0.81,0.869,0.75
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.779,0.8719,0.91,0.933,0.933,0.91,0.8133,0.76,0.8065,0.7905
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.2836,0.8719,1.09,1.067,0.933,0.91,0.8133,0.76,0.8065,0.7905
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.8347,0.885,1.0,0.7608,0.7608,1.0,0.6033,0.76,0.8235,0.7333
