dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,0.2145013199999999,0.1491737399999999,0.1852999999999999,0.7141132199999999,0.7141132199999998,0.1853,1.4373729099999997,0.7455555555555554,0.8302592592592594,0.6492962962962963
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,Female,0.2397772099999999,0.14564506,0.2745000000000001,0.86732006,0.86732006,0.2745,2.2920180199999995,0.7277777777777777,0.8126148148148147,0.6485925925925926
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,Female,0.40724129,0.25997913,0.4402,1.03388275,1.0338827500000003,0.4402,2.4000178,0.7240740740740742,0.8080851851851849,0.6522962962962964
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.24618785,0.17884404,0.1197000000000001,0.6838304299999998,0.6838304299999999,0.1197,0.71604802,0.7440740740740739,0.8328148148148148,0.6313000000000001
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,0.1195285599999999,0.09187232,0.0464,0.8153170300000002,0.8153170300000001,0.0464,0.44039891,0.7474074074074073,0.8401555555555554,0.6128703703703704
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.4547805099999998,0.27588721,0.2693,0.8102538800000001,0.81025388,0.2693,1.2667180200000003,0.725925925925926,0.815648148148148,0.6306925925925926
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.56918251,0.2726934399999999,0.2955,0.83853493,0.8385349299999999,0.2955,3.67927091,0.6744444444444442,0.7647444444444446,0.6175370370370371
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.2446550599999999,0.17400064,0.1301,0.7977335,0.7977335,0.1301,1.30118891,0.758888888888889,0.8406666666666667,0.6577518518518518
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.3024224399999999,0.2202784999999999,0.1936000000000001,0.80816926,0.80816926,0.1936,0.8578722399999997,0.7281481481481481,0.8207037037037038,0.6209999999999999
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Female,0.1096958399999999,0.08556078,0.1268,0.5738653899999997,0.5738653899999999,0.1268,0.4901100200000001,0.7322222222222221,0.8286185185185184,0.6037925925925927
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Female,0.3481772300000002,0.20284466,0.2942000000000001,0.7735557300000001,0.7735557299999999,0.2941999999999998,1.40343291,0.7088888888888889,0.8018777777777777,0.6188740740740739
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.51879015,0.2310713499999999,0.4250999999999998,1.1100610400000002,1.1100610400000002,0.4251,3.7520138,0.6774074074074073,0.7655074074074073,0.6260148148148149
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,0.2145013199999999,0.1491737399999999,0.1852999999999999,0.7141132199999999,0.7141132199999998,0.1853,1.4373729099999997,0.7455555555555554,0.8302592592592594,0.6492962962962963
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,Female,0.2397772099999999,0.14564506,0.2745000000000001,0.86732006,0.86732006,0.2745,2.2920180199999995,0.7277777777777777,0.8126148148148147,0.6485925925925926
German Credit,Attribute9,Female,Massaging,Test,2,False,Test,XGBClassifier,Female,0.40724129,0.25997913,0.4402,1.03388275,1.0338827500000003,0.4402,2.4000178,0.7240740740740742,0.8080851851851849,0.6522962962962964
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.0736269000000005,0.4579567300000001,0.2394,1.1606934600000005,1.1606934600000005,0.2394,0.7855420200000001,0.7692592592592592,0.8447481481481481,0.6828074074074075
