dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.9085,0.9350,0.8600,1.1770,0.8230,0.8600,0.8767,0.7300,0.8058,0.6833
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.1007,0.9350,1.1400,0.8230,0.8230,0.8600,0.8767,0.7300,0.8058,0.6833
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.2647,0.8312,1.0600,1.4498,0.5502,0.9400,0.7767,0.6700,0.7626,0.6119
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.7907,0.8312,0.9400,0.5502,0.5502,0.9400,0.7767,0.6700,0.7626,0.6119
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.9892,0.9916,0.9800,1.1244,0.8756,0.9800,0.8467,0.8000,0.8649,0.7238
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.0109,0.9916,1.0200,0.8756,0.8756,0.9800,0.8467,0.8000,0.8649,0.7238
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,1.0273,0.9794,1.1800,0.7847,0.7847,0.8200,0.8600,0.7600,0.8356,0.6857
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,0.9734,0.9794,0.8200,1.2153,0.7847,0.8200,0.8600,0.7600,0.8356,0.6857
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Female,1.0334,0.9729,1.1200,0.9139,0.9139,0.8800,0.8867,0.7600,0.8421,0.6571
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Male,0.9677,0.9729,0.8800,1.0861,0.9139,0.8800,0.8867,0.7600,0.8421,0.6571
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Female,1.1685,0.9023,1.1700,1.0478,0.9522,0.8300,0.8833,0.7100,0.7786,0.6976
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Male,0.8558,0.9023,0.8300,0.9522,0.9522,0.8300,0.8833,0.7100,0.7786,0.6976
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.2941,0.8167,1.2900,1.0191,0.9809,0.7100,0.7267,0.6600,0.7536,0.6048
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.7728,0.8167,0.7100,0.9809,0.9809,0.7100,0.7267,0.6600,0.7536,0.6048
