dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,GaussianNB,hisp,0.5408,0.6256,0.6273,0.8814,0.8814,0.6273,0.9779,0.8104,0.8916,0.7209
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,GaussianNB,other,0.8784,0.9027,0.9134,0.9533,0.9533,0.9134,0.9777,0.8104,0.8916,0.7209
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,GaussianNB,white,2.5003,0.4697,1.5111,1.3834,0.6166,0.4889,0.9781,0.8104,0.8916,0.7209
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,asian,0.9715,0.9725,0.9785,0.9158,0.9158,0.9785,0.9740,0.9225,0.9595,0.5270
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,black,0.8230,0.8275,0.8115,0.9176,0.9176,0.8115,0.9732,0.9225,0.9595,0.5270
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,hisp,0.7843,0.7900,0.7929,0.7925,0.7925,0.7929,0.9729,0.9225,0.9595,0.5270
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,other,1.0095,0.9908,1.0040,1.0900,0.9100,0.9960,0.9735,0.9225,0.9595,0.5270
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,white,1.1712,0.8557,1.1423,1.1524,0.8476,0.8577,0.9734,0.9225,0.9595,0.5270
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,asian,0.9947,0.9948,1.0041,0.8952,0.8952,0.9959,0.9855,0.9366,0.9672,0.5253
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,black,0.9146,0.9158,0.9066,0.9917,0.9917,0.9066,0.9844,0.9366,0.9672,0.5253
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,hisp,0.8841,0.8858,0.9036,0.7708,0.7708,0.9036,0.9851,0.9366,0.9672,0.5253
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,other,0.9927,0.9928,0.9878,1.0700,0.9300,0.9878,0.9859,0.9366,0.9672,0.5253
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,white,1.0800,0.9266,1.0661,1.1098,0.8902,0.9339,0.9860,0.9366,0.9672,0.5253
Law School Admission Bar Passage,race1,NA,NA,Validation,0,False,Target,XGBClassifier,asian,0.9857,0.9858,0.9932,0.9242,0.9242,0.9932,0.9930,0.9469,0.9726,0.5440
