dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,Other,0.2809,0.9076,0.2765,0.0202,0.9812,0.7665,0.9668,,,,,,,,
,,,,White,1.9161,0.9345,-0.0803,-0.0232,0.9767,0.9174,0.9666,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.4464,0.8813,0.3841,0.0254,0.9788,0.6271,0.9506,"[6464, 735, 1028, 1297]",0.8149,0.5954,0.5578,0.6383,0.4779,0.5578,0.8979
,,,,Asian-Pac-Islander,1.3389,0.9285,-0.05,-0.0218,0.9771,0.9496,0.9505,,,,,,,,
,,,,Black,0.4658,0.8798,0.0984,0.0503,0.9501,0.9045,0.9506,,,,,,,,
,,,,Other,0.2626,0.8419,0.3085,0.0578,0.9443,0.6916,0.9505,,,,,,,,
,,,,White,1.5977,0.9156,-0.0571,-0.038,0.9621,0.941,0.9505,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.5484,0.8914,0.1607,0.0391,0.9554,0.8777,0.9643,"[9543, 1247, 1323, 2174]",0.8201,0.6285,0.6217,0.6355,0.5099,0.6217,0.8844
,,,,Asian-Pac-Islander,0.947,0.9873,0.075,0.0126,0.986,0.9316,0.9643,,,,,,,,
,,,,Black,0.457,0.863,0.1368,0.0641,0.9363,0.8629,0.9643,,,,,,,,
,,,,Other,0.4507,0.8679,0.2222,0.0475,0.9513,0.8061,0.9641,,,,,,,,
,,,,White,1.8357,0.8835,-0.1197,-0.0569,0.9435,0.8794,0.9642,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.4212,0.8685,0.2839,0.0623,0.9404,0.7348,0.9552,"[6385, 814, 986, 1339]",0.811,0.598,0.5759,0.6219,0.4753,0.5759,0.8869
,,,,Asian-Pac-Islander,1.26,0.9417,-0.0211,-0.0155,0.9832,0.979,0.9551,,,,,,,,
,,,,Black,0.4157,0.86,0.0891,0.0721,0.928,0.9055,0.9547,,,,,,,,
,,,,Other,0.2478,0.8291,0.3265,0.0689,0.9332,0.6735,0.9552,,,,,,,,
,,,,White,1.7591,0.896,-0.0629,-0.0589,0.9409,0.9358,0.9548,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.3065,0.8509,0.352,0.0694,0.9317,0.6949,0.9612,"[9772, 1018, 1464, 2033]",0.8263,0.621,0.5814,0.6663,0.5109,0.5814,0.9057
,,,,Asian-Pac-Islander,1.0986,0.979,0.0332,-0.0188,0.982,0.9734,0.9613,,,,,,,,
,,,,Black,0.4558,0.8775,0.1366,0.0498,0.9506,0.8637,0.9608,,,,,,,,
,,,,Other,0.2801,0.8453,0.2824,0.0675,0.9338,0.7032,0.961,,,,,,,,
,,,,White,1.8196,0.8973,-0.1186,-0.0428,0.9575,0.8798,0.9607,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.4331,0.8886,0.2932,0.0377,0.9651,0.7216,0.9463,"[6561, 638, 1101, 1224]",0.8174,0.5847,0.5265,0.6574,0.4742,0.5265,0.9114
,,,,Asian-Pac-Islander,1.6228,0.8806,-0.103,-0.0697,0.9325,0.8957,0.946,,,,,,,,
,,,,Black,0.447,0.8858,0.0563,0.0511,0.9487,0.9474,0.9461,,,,,,,,
,,,,Other,0.3585,0.874,0.2769,0.0292,0.9736,0.7231,0.9462,,,,,,,,
,,,,White,1.4745,0.934,-0.0033,-0.0287,0.9709,0.9954,0.9461,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.8214,0.9761,-0.0248,-0.0039,0.9977,0.9707,0.9677,"[10140, 650, 2239, 1258]",0.7978,0.4655,0.3597,0.6593,0.3785,0.3597,0.9398
,,,,Asian-Pac-Islander,1.467,0.9385,-0.1075,-0.0298,0.9706,0.8858,0.9676,,,,,,,,
,,,,Black,0.3728,0.911,0.1323,0.0389,0.9611,0.871,0.9674,,,,,,,,
,,,,Other,0.4486,0.926,0.0601,0.0332,0.9683,0.9257,0.9675,,,,,,,,
,,,,White,1.6373,0.945,-0.0293,-0.0244,0.9755,0.9686,0.9676,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.701,0.9365,0.2024,0.0116,0.9933,0.8198,0.9474,"[6470, 729, 1037, 1288]",0.8146,0.5933,0.554,0.6386,0.476,0.554,0.8987
,,,,Asian-Pac-Islander,1.381,0.9203,-0.0643,-0.0276,0.9711,0.935,0.9474,,,,,,,,
,,,,Black,0.4695,0.8816,0.0473,0.0547,0.9455,0.9485,0.9469,,,,,,,,
,,,,Other,0.3308,0.8576,0.3044,0.0419,0.9609,0.6955,0.9471,,,,,,,,
,,,,White,1.5267,0.9231,-0.0149,-0.0379,0.9621,0.9848,0.9471,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.5998,0.912,-0.0162,0.045,0.9573,0.9882,0.9599,"[9756, 1034, 1401, 2096]",0.8296,0.6326,0.5994,0.6696,0.5234,0.5994,0.9042
,,,,Asian-Pac-Islander,1.1343,0.9707,0.0017,-0.0173,0.9836,0.9989,0.96,,,,,,,,
,,,,Black,0.4539,0.8739,0.147,0.0501,0.9499,0.8567,0.9599,,,,,,,,
,,,,Other,0.438,0.8763,0.2001,0.0552,0.9518,0.8285,0.9598,,,,,,,,
,,,,White,1.713,0.9031,-0.0902,-0.0405,0.9599,0.9107,0.9598,,,,,,,,
Adult Income,sex,DisparateImpactRemover,RandomForestClassifier,Female,0.8101,0.9838,-0.1395,-0.0097,0.9905,0.8601,0.9706,"[6996, 203, 1766, 559]",0.7933,0.3622,0.2404,0.7336,0.336,0.2404,0.9718
,,,,Male,1.2344,0.9838,0.1395,0.0097,0.9905,0.8601,0.9706,,,,,,,,
Adult Income,sex,DisparateImpactRemover,XGBClassifier,Female,0.4649,0.8812,-0.0009,0.0423,0.9576,0.9984,0.9616,"[10031, 759, 1650, 1847]",0.8314,0.6053,0.5282,0.7087,0.5097,0.5282,0.9297
,,,,Male,2.1512,0.8812,0.0009,-0.0423,0.9576,0.9984,0.9616,,,,,,,,
Adult Income,sex,DisparateImpactRemover,RandomForestClassifier,Female,0.2357,0.7886,0.1928,0.115,0.8849,0.8087,0.9388,"[6498, 701, 1052, 1273]",0.8159,0.5922,0.5475,0.6449,0.477,0.5475,0.9026
,,,,Male,4.2423,0.7886,-0.1928,-0.115,0.8849,0.8087,0.9388,,,,,,,,
Adult Income,sex,DisparateImpactRemover,XGBClassifier,Female,0.28,0.8079,0.1745,0.0895,0.9106,0.8244,0.959,"[9929, 861, 1460, 2037]",0.8375,0.6371,0.5825,0.7029,0.5375,0.5825,0.9202
,,,,Male,3.5716,0.8079,-0.1745,-0.0895,0.9106,0.8244,0.959,,,,,,,,
